feature_name,source
tag_OGWashed,Tag dummy variable
tag_PermanentCollection,Tag dummy variable
tag_PermanentDesert,Tag dummy variable
tag_Produtos Icónicos,Tag dummy variable
tag_SALEAW24,Tag dummy variable
tag_SKATEDAY,Tag dummy variable
tag_SKEVO,Tag dummy variable
tag_SS'22 Vestuário s/ saldos,Tag dummy variable
tag_SS23,Tag dummy variable
tag_SS23K100,Tag dummy variable
tag_SS23K200,Tag dummy variable
tag_SS23KIDS,Tag dummy variable
tag_SS23Newin,Tag dummy variable
tag_SS23Sapatilhas,Tag dummy variable
tag_SS23Solid,Tag dummy variable
tag_SS23SolidK100,Tag dummy variable
tag_SS23SolidK200,Tag dummy variable
tag_SS23Workwear,Tag dummy variable
tag_SS24,Tag dummy variable
tag_SS24SNEAKERS,Tag dummy variable
tag_SS24Workwear,Tag dummy variable
tag_SS24hoodie,Tag dummy variable
tag_SS24jacket,Tag dummy variable
tag_SS24polo,Tag dummy variable
tag_SS24sweat,Tag dummy variable
tag_SS24tshirt,Tag dummy variable
tag_SS25,Tag dummy variable
tag_SS25Apparel,Tag dummy variable
tag_SS25BSK,Tag dummy variable
tag_SS25KIDSMarine,Tag dummy variable
tag_SS25Kids,Tag dummy variable
tag_SS25Linen,Tag dummy variable
tag_SS25Marine,Tag dummy variable
tag_SS25Olymp,Tag dummy variable
tag_SS25SLMarine,Tag dummy variable
tag_SS25STC,Tag dummy variable
tag_SS25Shoes,Tag dummy variable
tag_SS25Tweed,Tag dummy variable
tag_SS25Wild,Tag dummy variable
tag_STC70,Tag dummy variable
tag_Sapatilhas homem,Tag dummy variable
tag_Todos os Produtos,Tag dummy variable
tag_VIP20,Tag dummy variable
tag_WashedK230,Tag dummy variable
tag_allproducts,Tag dummy variable
tag_aw'21,Tag dummy variable
tag_aw23bombazine,Tag dummy variable
tag_aw23burel,Tag dummy variable
tag_aw23desert,Tag dummy variable
tag_aw23permanente,Tag dummy variable
tag_bombazinepermanente,Tag dummy variable
tag_boness25,Tag dummy variable
tag_bsk33sale,Tag dummy variable
tag_bsk33ss25,Tag dummy variable
tag_burel,Tag dummy variable
tag_calças,Tag dummy variable
tag_calções,Tag dummy variable
tag_camisasSS25,Tag dummy variable
tag_clássicos,Tag dummy variable
tag_colab,Tag dummy variable
tag_cordura,Tag dummy variable
tag_diadopai1,Tag dummy variable
tag_dp,Tag dummy variable
tag_dq,Tag dummy variable
tag_footballmania,Tag dummy variable
tag_google,Tag dummy variable
tag_hoodiesSS25,Tag dummy variable
tag_hoodiesale,Tag dummy variable
tag_hoodiess25,Tag dummy variable
tag_icónicos,Tag dummy variable
tag_if-non-returnable,Tag dummy variable
tag_jacketsale,Tag dummy variable
tag_jacketsss25,Tag dummy variable
tag_k100,Tag dummy variable
tag_k100-classicos,Tag dummy variable
tag_k100bombazinepermanente,Tag dummy variable
tag_k100permanente,Tag dummy variable
tag_k100promo,Tag dummy variable
tag_k100sale,Tag dummy variable
tag_k200,Tag dummy variable
tag_k200-classicos,Tag dummy variable
tag_k200promo,Tag dummy variable
tag_k230sale,Tag dummy variable
tag_k330sale,Tag dummy variable
tag_kidspermanente,Tag dummy variable
tag_kidspromo,Tag dummy variable
tag_kidssale,Tag dummy variable
tag_kidssalev100,Tag dummy variable
tag_kidssalev200,Tag dummy variable
tag_mae,Tag dummy variable
tag_meias,Tag dummy variable
tag_modelo,Tag dummy variable
tag_mulher,Tag dummy variable
