tenant_id,properties,is_identified,created_at,updated_at,person_id_hex
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T20:26:25+01:00', 'shopify_updated_at': '2025-02-28T23:37:07Z', 'shopify_customer_id': 8472100995420, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-02-28 23:36:22.255416+00:00,2025-03-05 18:35:22.903921+00:00,32746774774f5762377345734f4130374347434637744563415074
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T20:19:10Z', 'shopify_updated_at': '2025-03-11T20:03:07Z', 'shopify_customer_id': 23029517222236, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-10 20:42:44.857078+00:00,2025-03-13 22:14:43.203579+00:00,3275386f336b68344e31317741764e53665367305a725556617a41
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-02-12T20:19:52Z', 'shopify_updated_at': '2025-02-20T14:16:06Z', 'shopify_customer_id': 23029522334044, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-02-20 14:13:10.097443+00:00,2025-02-21 15:11:23.956406+00:00,32744a4353575a70444f746f654e474b554b48537165716841664d
sjstarcorp,"{'shopify_tags': 'newsletter, WELCOMESANJO10', 'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-01T11:04:28Z', 'shopify_updated_at': '2025-03-01T11:07:10Z', 'shopify_customer_id': 23061308670300, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-01 11:06:20.311527+00:00,2025-03-04 10:41:06.731463+00:00,327469467169554c716a43546843735072776345687a464c636538
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2025-03-09T19:17:56Z', 'shopify_updated_at': '2025-03-09T19:19:14Z', 'shopify_customer_id': 23081856991580, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-03-09 19:18:41.839610+00:00,2025-03-11 14:38:43.612511+00:00,3275356f694b794d7237715375584366553467626a6e4a42714b32
sjstarcorp,"{'shopify_tags': 'EcomSend Popups, ES Popup Name: Welcome Sanjo', 'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_customer_id': 8471125426524, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-02-11 22:37:47.183620+00:00,2025-02-11 22:41:16.544854+00:00,3273756c6952763979736c6b325677376e576f556f4b5659683473
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T21:08:52+01:00', 'shopify_updated_at': '2025-02-13T21:16:43Z', 'shopify_customer_id': 8472395612508, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-02-11 12:28:23.142264+00:00,2025-02-15 14:20:17.769595+00:00,3273745a6265664851644448447979576e316f79776a3765387144
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_customer_id': 8472037753180, 'shopify_total_spent': '0.00', 'shopify_orders_count': 0, 'shopify_verified_email': True}",True,2025-02-11 12:47:11.315559+00:00,2025-02-11 12:47:15.427923+00:00,32737462744e3141424478715842615457567437436b467172514f
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_created_at': '2024-10-15T20:44:56+01:00', 'shopify_updated_at': '2025-03-17T21:35:49Z', 'shopify_customer_id': 8472228528476, 'shopify_total_spent': '74.50', 'shopify_orders_count': 1, 'shopify_verified_email': True}",True,2025-03-17 21:33:03.735918+00:00,2025-03-19 14:29:54.582069+00:00,3275536732663134324e466441556d79615a6237417a6674504a45
sjstarcorp,"{'shopify_state': 'disabled', 'shopify_currency': 'EUR', 'shopify_customer_id': 8476815491420, 'shopify_total_spent': '67.05', 'shopify_orders_count': 2, 'shopify_verified_email': True}",True,2025-03-17 21:37:58.571001+00:00,2025-03-17 21:38:43.154847+00:00,32755367646843506f624d59524d7574416a595a41694465475974
