person_id_hex,is_identified,days_since_creation,days_since_last_update,shopify_state,shopify_currency,shopify_verified_email,shopify_account_age_days,city,country_iso,in_eu,timezone,days_since_last_session
3273784741714b66786134434a4b7461724f6b4744626877347146,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847417778457a3967496d4a79367138494e31546d626b6147,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474248434552367854426e4e6441563447573052626f6271,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784742586e624e52306d7a366539693071313239324a517548,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847426365785049514c674b616d7849484f414f7250785a52,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784743415957544a5330524a7844357755786f45484a384639,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474436444e4c52334f4f6572315669675a6f4b6171437559,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
32737847434747674169546a4c47664245756854616b496b474750,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847434e7a61374e744747446c65314143414a693438715663,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847436677794a57467737387563337254727a4f64414e464c,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474431574f30704370554c4e72306873366b6f366d564854,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
3273784744377149435a6349453742337864497649484b7a7a7734,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847444e636935636662557336456c764658515a3052337644,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
32737847447a4f47796f786c6a6751364b52555a6f3744774f3330,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784746596d4b636c4f4268496c4c6269784c74397041477242,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
32737847466f544b3765454669596f7a52324b556c494b33784d62,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474670734463584375555a484b36433552635539645a4a53,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474667436452444d357433546e6a54594c78626750596439,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
32737847475935684d5632655a50396a5373446e784a4b76676a48,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474758426835356e374953555a694375566b4d386d4c466b,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378477a587131686f377a4d71594355624c344e774e506e7846,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474831544c626148586b5974766c6c74426462676a666250,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
327378474b574e75463975593867533941614d716469456c76634b,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474c53796550467870473946366f53483679427435483066,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474c4b39556b497034435074746b435468706f4e79574c46,1,49,49,disabled,EUR,1,169,Unknown,Unknown,0,Unknown,9999
327378474f3852524442776e5171364a7655335771525369755870,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784c465152706655695069523477754654776c455136484465,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
3273784c4749416579495450744935526d68373674576548735963,1,49,49,disabled,EUR,1,49,Unknown,Unknown,0,Unknown,9999
