source_product_id,target_product_id,color_similarity
9641405776220,14891255759196,1.0
9641405776220,9641461088604,0.39892871039568495
9641405776220,9641458991452,0.3929132126249063
9641405776220,14887691845980,0.35882539192382723
9641458991452,9641461088604,0.9325160995031925
9641458991452,14887691845980,0.9325160995031925
9641458991452,9641405776220,0.3929132126249063
9641458991452,14891255759196,0.3929132126249063
9641461088604,9641458991452,0.9325160995031925
9641461088604,14887691845980,0.5501073300212835
9641461088604,9641405776220,0.39892871039568495
9641461088604,14891255759196,0.39892871039568495
14887691845980,9641458991452,0.9325160995031925
14887691845980,9641461088604,0.5501073300212835
14887691845980,9641405776220,0.35882539192382723
14887691845980,14891255759196,0.35882539192382723
14891255759196,9641405776220,1.0
14891255759196,9641461088604,0.39892871039568495
14891255759196,9641458991452,0.3929132126249063
14891255759196,14887691845980,0.35882539192382723
