source_product_id,target_product_id,color_similarity
8003945070819,9617269064021,0.9130983211083762
8003945070819,9618039800149,0.8659436161857996
8003945070819,9618371838293,0.7621300179591696
8003945070819,9788876783957,0.6667797535859824
8003945070819,9508294558037,0.5326093763729879
8003945070819,9508295016789,0.5326093763729879
8003945070819,9508295737685,0.5326093763729879
8003945070819,9508296556885,0.5326093763729879
8003945070819,9508296982869,0.5326093763729879
8003945070819,9508297670997,0.5326093763729879
9508294558037,9508295016789,1.0
9508294558037,9508295737685,1.0
9508294558037,9508296556885,1.0
9508294558037,9508296982869,1.0
9508294558037,9508297670997,1.0
9508294558037,9508297867605,1.0
9508294558037,9508304617813,1.0
9508294558037,9509592334677,1.0
9508294558037,9509595251029,1.0
9508294558037,9509606392149,1.0
9508295016789,9508294558037,1.0
9508295016789,9508295737685,1.0
9508295016789,9508296556885,1.0
9508295016789,9508296982869,1.0
9508295016789,9508297670997,1.0
9508295016789,9508297867605,1.0
9508295016789,9508304617813,1.0
9508295016789,9509592334677,1.0
9508295016789,9509595251029,1.0
9508295016789,9509606392149,1.0
9508295737685,9508294558037,1.0
9508295737685,9508295016789,1.0
9508295737685,9508296556885,1.0
9508295737685,9508296982869,1.0
9508295737685,9508297670997,1.0
9508295737685,9508297867605,1.0
9508295737685,9508304617813,1.0
9508295737685,9509592334677,1.0
9508295737685,9509595251029,1.0
9508295737685,9509606392149,1.0
9508296556885,9508294558037,1.0
9508296556885,9508295016789,1.0
9508296556885,9508295737685,1.0
9508296556885,9508296982869,1.0
9508296556885,9508297670997,1.0
9508296556885,9508297867605,1.0
9508296556885,9508304617813,1.0
9508296556885,9509592334677,1.0
9508296556885,9509595251029,1.0
9508296556885,9509606392149,1.0
9508296982869,9508294558037,1.0
9508296982869,9508295016789,1.0
9508296982869,9508295737685,1.0
9508296982869,9508296556885,1.0
9508296982869,9508297670997,1.0
9508296982869,9508297867605,1.0
9508296982869,9508304617813,1.0
9508296982869,9509592334677,1.0
9508296982869,9509595251029,1.0
9508296982869,9509606392149,1.0
9508297670997,9508294558037,1.0
9508297670997,9508295016789,1.0
9508297670997,9508295737685,1.0
9508297670997,9508296556885,1.0
9508297670997,9508296982869,1.0
9508297670997,9508297867605,1.0
9508297670997,9508304617813,1.0
9508297670997,9509592334677,1.0
9508297670997,9509595251029,1.0
9508297670997,9509606392149,1.0
9508297867605,9508294558037,1.0
9508297867605,9508295016789,1.0
9508297867605,9508295737685,1.0
9508297867605,9508296556885,1.0
9508297867605,9508296982869,1.0
9508297867605,9508297670997,1.0
9508297867605,9508304617813,1.0
9508297867605,9509592334677,1.0
9508297867605,9509595251029,1.0
9508297867605,9509606392149,1.0
9508304617813,9508294558037,1.0
9508304617813,9508295016789,1.0
9508304617813,9508295737685,1.0
9508304617813,9508296556885,1.0
9508304617813,9508296982869,1.0
9508304617813,9508297670997,1.0
9508304617813,9508297867605,1.0
9508304617813,9509592334677,1.0
9508304617813,9509595251029,1.0
9508304617813,9509606392149,1.0
9509592334677,9508294558037,1.0
9509592334677,9508295016789,1.0
9509592334677,9508295737685,1.0
9509592334677,9508296556885,1.0
9509592334677,9508296982869,1.0
9509592334677,9508297670997,1.0
9509592334677,9508297867605,1.0
9509592334677,9508304617813,1.0
9509592334677,9509595251029,1.0
9509592334677,9509606392149,1.0
9509595251029,9508294558037,1.0
9509595251029,9508295016789,1.0
9509595251029,9508295737685,1.0
9509595251029,9508296556885,1.0
9509595251029,9508296982869,1.0
9509595251029,9508297670997,1.0
9509595251029,9508297867605,1.0
9509595251029,9508304617813,1.0
9509595251029,9509592334677,1.0
9509595251029,9509606392149,1.0
9509606392149,9508294558037,1.0
9509606392149,9508295016789,1.0
9509606392149,9508295737685,1.0
9509606392149,9508296556885,1.0
9509606392149,9508296982869,1.0
9509606392149,9508297670997,1.0
9509606392149,9508297867605,1.0
9509606392149,9508304617813,1.0
9509606392149,9509592334677,1.0
9509606392149,9509595251029,1.0
9509608882517,9508294558037,1.0
9509608882517,9508295016789,1.0
9509608882517,9508295737685,1.0
9509608882517,9508296556885,1.0
9509608882517,9508296982869,1.0
9509608882517,9508297670997,1.0
9509608882517,9508297867605,1.0
9509608882517,9508304617813,1.0
9509608882517,9509592334677,1.0
9509608882517,9509595251029,1.0
9509611995477,9508294558037,1.0
9509611995477,9508295016789,1.0
9509611995477,9508295737685,1.0
9509611995477,9508296556885,1.0
9509611995477,9508296982869,1.0
9509611995477,9508297670997,1.0
9509611995477,9508297867605,1.0
9509611995477,9508304617813,1.0
9509611995477,9509592334677,1.0
9509611995477,9509595251029,1.0
9509615305045,9508294558037,1.0
9509615305045,9508295016789,1.0
9509615305045,9508295737685,1.0
9509615305045,9508296556885,1.0
9509615305045,9508296982869,1.0
9509615305045,9508297670997,1.0
9509615305045,9508297867605,1.0
9509615305045,9508304617813,1.0
9509615305045,9509592334677,1.0
9509615305045,9509595251029,1.0
9509620941141,9508294558037,1.0
9509620941141,9508295016789,1.0
9509620941141,9508295737685,1.0
9509620941141,9508296556885,1.0
9509620941141,9508296982869,1.0
9509620941141,9508297670997,1.0
9509620941141,9508297867605,1.0
9509620941141,9508304617813,1.0
9509620941141,9509592334677,1.0
9509620941141,9509595251029,1.0
9509625102677,9508294558037,1.0
9509625102677,9508295016789,1.0
9509625102677,9508295737685,1.0
9509625102677,9508296556885,1.0
9509625102677,9508296982869,1.0
9509625102677,9508297670997,1.0
9509625102677,9508297867605,1.0
9509625102677,9508304617813,1.0
9509625102677,9509592334677,1.0
9509625102677,9509595251029,1.0
9509636473173,9508294558037,1.0
9509636473173,9508295016789,1.0
9509636473173,9508295737685,1.0
9509636473173,9508296556885,1.0
9509636473173,9508296982869,1.0
9509636473173,9508297670997,1.0
9509636473173,9508297867605,1.0
9509636473173,9508304617813,1.0
9509636473173,9509592334677,1.0
9509636473173,9509595251029,1.0
9617269064021,8003945070819,0.9130983211083762
9617269064021,9618371838293,0.7999705044643421
9617269064021,9508294558037,0.5990117923918041
9617269064021,9508295016789,0.5990117923918041
9617269064021,9508295737685,0.5990117923918041
9617269064021,9508296556885,0.5990117923918041
9617269064021,9508296982869,0.5990117923918041
9617269064021,9508297670997,0.5990117923918041
9617269064021,9508297867605,0.5990117923918041
9617269064021,9508304617813,0.5990117923918041
9618039800149,8003945070819,0.8659436161857996
9618039800149,9617269064021,0.5402553788512405
9618039800149,9618371838293,0.4195598670492815
9618039800149,9788876783957,0.3889393798854477
9618039800149,9508294558037,0.27391966935615053
9618039800149,9508295016789,0.27391966935615053
9618039800149,9508295737685,0.27391966935615053
9618039800149,9508296556885,0.27391966935615053
9618039800149,9508296982869,0.27391966935615053
9618039800149,9508297670997,0.27391966935615053
9618371838293,9617269064021,0.7999705044643421
9618371838293,8003945070819,0.7621300179591696
9618371838293,9788876783957,0.5126902718934151
9618371838293,9508294558037,0.5024622335016847
9618371838293,9508295016789,0.5024622335016847
9618371838293,9508295737685,0.5024622335016847
9618371838293,9508296556885,0.5024622335016847
9618371838293,9508296982869,0.5024622335016847
9618371838293,9508297670997,0.5024622335016847
9618371838293,9508297867605,0.5024622335016847
9788876783957,8003945070819,0.6667797535859824
9788876783957,9618371838293,0.5126902718934151
9788876783957,9617269064021,0.406872542600924
9788876783957,9618039800149,0.3889393798854477
9831336214869,9508294558037,1.0
9831336214869,9508295016789,1.0
9831336214869,9508295737685,1.0
9831336214869,9508296556885,1.0
9831336214869,9508296982869,1.0
9831336214869,9508297670997,1.0
9831336214869,9508297867605,1.0
9831336214869,9508304617813,1.0
9831336214869,9509592334677,1.0
9831336214869,9509595251029,1.0
9831341130069,9508294558037,1.0
9831341130069,9508295016789,1.0
9831341130069,9508295737685,1.0
9831341130069,9508296556885,1.0
9831341130069,9508296982869,1.0
9831341130069,9508297670997,1.0
9831341130069,9508297867605,1.0
9831341130069,9508304617813,1.0
9831341130069,9509592334677,1.0
9831341130069,9509595251029,1.0
9831345848661,9508294558037,1.0
9831345848661,9508295016789,1.0
9831345848661,9508295737685,1.0
9831345848661,9508296556885,1.0
9831345848661,9508296982869,1.0
9831345848661,9508297670997,1.0
9831345848661,9508297867605,1.0
9831345848661,9508304617813,1.0
9831345848661,9509592334677,1.0
9831345848661,9509595251029,1.0
9833199206741,9508294558037,1.0
9833199206741,9508295016789,1.0
9833199206741,9508295737685,1.0
9833199206741,9508296556885,1.0
9833199206741,9508296982869,1.0
9833199206741,9508297670997,1.0
9833199206741,9508297867605,1.0
9833199206741,9508304617813,1.0
9833199206741,9509592334677,1.0
9833199206741,9509595251029,1.0
9833204580693,9508294558037,1.0
9833204580693,9508295016789,1.0
9833204580693,9508295737685,1.0
9833204580693,9508296556885,1.0
9833204580693,9508296982869,1.0
9833204580693,9508297670997,1.0
9833204580693,9508297867605,1.0
9833204580693,9508304617813,1.0
9833204580693,9509592334677,1.0
9833204580693,9509595251029,1.0
9833205236053,9508294558037,1.0
9833205236053,9508295016789,1.0
9833205236053,9508295737685,1.0
9833205236053,9508296556885,1.0
9833205236053,9508296982869,1.0
9833205236053,9508297670997,1.0
9833205236053,9508297867605,1.0
9833205236053,9508304617813,1.0
9833205236053,9509592334677,1.0
9833205236053,9509595251029,1.0
9833205891413,9508294558037,1.0
9833205891413,9508295016789,1.0
9833205891413,9508295737685,1.0
9833205891413,9508296556885,1.0
9833205891413,9508296982869,1.0
9833205891413,9508297670997,1.0
9833205891413,9508297867605,1.0
9833205891413,9508304617813,1.0
9833205891413,9509592334677,1.0
9833205891413,9509595251029,1.0
9833206579541,9508294558037,1.0
9833206579541,9508295016789,1.0
9833206579541,9508295737685,1.0
9833206579541,9508296556885,1.0
9833206579541,9508296982869,1.0
9833206579541,9508297670997,1.0
9833206579541,9508297867605,1.0
9833206579541,9508304617813,1.0
9833206579541,9509592334677,1.0
9833206579541,9509595251029,1.0
