product1_id,product1,product2_id,product2,similarity
gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,gid://shopify/Product/7953519509731,BLUE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,gid://shopify/Product/7953519509731,BLUE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,gid://shopify/Product/7953519509731,BLUE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,gid://shopify/Product/7953519509731,BLUE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,gid://shopify/Product/7953519509731,BLUE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953538449635,TAUPE TRACKSUIT CROP TOP,gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953539039459,TAUPE TRACKSUIT SWEATSHIRT,gid://shopify/Product/7953514365155,BLACK LOUNGEWEAR TROUSERS,0.8696506761580842
gid://shopify/Product/7953539039459,TAUPE TRACKSUIT SWEATSHIRT,gid://shopify/Product/7953520820451,BLUE TRACKSUIT SWEATSHIRT,1.0
gid://shopify/Product/7953539039459,TAUPE TRACKSUIT SWEATSHIRT,gid://shopify/Product/9591109550421,BROWN TRACKSUIT SWEATSHIRT,1.0
gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,gid://shopify/Product/7953514889443,BLACK TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,gid://shopify/Product/7953519509731,BLUE TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,gid://shopify/Product/7953522000099,BROWN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,gid://shopify/Product/7953528750307,GREEN TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,gid://shopify/Product/7953532584163,MINT TRACKSUIT CROP TOP,1.0
gid://shopify/Product/7953541202147,WHITE TRACKSUIT CROP TOP,gid://shopify/Product/7953535598819,PINK TRACKSUIT CROP TOP,1.0
