product_title,product_type,rating,collection_ACESSÓRIOS,collection_BIQUÍNIS,related_products_count,recommended_by_others_count,vendor_Missus,vendor_missusstore,min_price,max_price,has_discount,other_formato cueca:XS / L / Regular,other_formato cueca:XS / L / Tanga,other_formato cueca:XS / M / Regular,other_formato cueca:XS / M / Tanga,other_formato cueca:XS / S / Regular,other_formato cueca:XS / S / Tanga,other_formato cueca:XS / XL / Regular,other_formato cueca:XS / XL / Tanga,other_formato cueca:XS / XS / Regular,other_formato cueca:XS / XS / Tanga,other_tamanho cueca:XS / L / Regular,other_tamanho cueca:XS / L / Tanga,other_tamanho cueca:XS / M / Regular,other_tamanho cueca:XS / M / Tanga,other_tamanho cueca:XS / S / Regular,other_tamanho cueca:XS / S / Tanga,other_tamanho cueca:XS / XL / Regular,other_tamanho cueca:XS / XL / Tanga,other_tamanho cueca:XS / XS / Regular,other_tamanho cueca:XS / XS / Tanga,other_tamanho top:XS / L / Regular,other_tamanho top:XS / L / Tanga,other_tamanho top:XS / M / Regular,other_tamanho top:XS / M / Tanga,other_tamanho top:XS / S / Regular,other_tamanho top:XS / S / Tanga,other_tamanho top:XS / XL / Regular,other_tamanho top:XS / XL / Tanga,other_tamanho top:XS / XS / Regular,other_tamanho top:XS / XS / Tanga,other_title:Default Title,clean_text,2025,2025 biquíni,2025 ss,24,24 acessórios,24 fevereiro,31,31 março,70x70cm,acessórios,acessórios rj,acetinado,acetinado disponível,alças,alças reguláveis,amovíveis,amovíveis alças,aperta,aperta nas,azul,azul navy,baixo,baixo está,biquíni,biquíni coral,biquíni preto,branco,branco com,collection,collection lenço,com,com contraste,com copas,contraste,contraste azul,contraste branco,copas,copas amovíveis,coral,coral com,costas,costas parte,data,data promoção,disponível,disponível em,disponível nos,dois,dois formatos,em,em dois,em tamanho,está,está disponível,está utilizar,fecho,fecho nas,fevereiro,fevereiro 31,formatos,formatos regular,lenço,lenço acetinado,liso,liso com,março,março 2025,modelo,modelo está,nas,nas costas,navy,navy com,nos,nos tamanhos,parte,parte baixo,preto,preto liso,promoção,promoção 24,regular,regular tanga,reguláveis,reguláveis aperta,reguláveis fecho,rj,rj collection,ss,ss 24,tamanho,tamanho único,tamanhos,tamanhos xs,tanga,tanga disponível,utilizar,utilizar tamanho,xl,xl modelo,xs,xs xl,único,único 70x70cm
SILK SCARF SS'24 RJ COLLECTION S5,,,1,0,0,0,0,1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,data de promoção: de 24 de fevereiro a 31 de março de 2025. ss'24 acessórios | rj collection 🌴 lenço acetinado disponível em tamanho único. 70x70cm,0.12562052058189935,0.0,0.18979070136595655,0.2512410411637987,0.18979070136595655,0.12562052058189935,0.12562052058189935,0.12562052058189935,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18979070136595655,0.18979070136595655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12562052058189935,0.12562052058189935,0.12562052058189935,0.12562052058189935,0.0,0.0,0.0,0.12562052058189935,0.0,0.18979070136595655,0.0,0.0,0.0,0.0,0.0,0.12562052058189935,0.12562052058189935,0.0,0.0,0.18979070136595655,0.18979070136595655,0.0,0.0,0.12562052058189935,0.12562052058189935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12562052058189935,0.12562052058189935,0.0,0.0,0.0,0.0,0.0,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.12562052058189935,0.18979070136595655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18979070136595655,0.18979070136595655
SILK SCARF SS'24 RJ COLLECTION S6,,,1,0,0,0,0,1,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,data de promoção: de 24 de fevereiro a 31 de março de 2025. ss'24 acessórios | rj collection 🌴 lenço acetinado disponível em tamanho único. 70x70cm,0.12562052058189935,0.0,0.18979070136595655,0.2512410411637987,0.18979070136595655,0.12562052058189935,0.12562052058189935,0.12562052058189935,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18979070136595655,0.18979070136595655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12562052058189935,0.12562052058189935,0.12562052058189935,0.12562052058189935,0.0,0.0,0.0,0.12562052058189935,0.0,0.18979070136595655,0.0,0.0,0.0,0.0,0.0,0.12562052058189935,0.12562052058189935,0.0,0.0,0.18979070136595655,0.18979070136595655,0.0,0.0,0.12562052058189935,0.12562052058189935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12562052058189935,0.12562052058189935,0.0,0.0,0.0,0.0,0.0,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.18979070136595655,0.12562052058189935,0.18979070136595655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18979070136595655,0.18979070136595655
BIQUÍNI MARAMBAIA S1,,,0,1,0,0,1,0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"data de promoção: de 24 de fevereiro a 31 de março de 2025. biquíni preto liso com contraste a branco. top com copas amovíveis, alças reguláveis e fecho nas costas. a parte de baixo está disponível em dois formatos: regular e tanga. disponível nos tamanhos xs, s, m, l e xl. a modelo está a utilizar o tamanho s.",0.07472498410406098,0.11289642071992166,0.0,0.07472498410406098,0.0,0.07472498410406098,0.07472498410406098,0.07472498410406098,0.0,0.0,0.0,0.0,0.0,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.0,0.0,0.0,0.0,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.0,0.1431947944780556,0.1431947944780556,0.1431947944780556,0.0,0.0,0.22579284143984332,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.0,0.1431947944780556,0.11289642071992166,0.11289642071992166,0.0,0.0,0.11289642071992166,0.11289642071992166,0.07472498410406098,0.07472498410406098,0.14944996820812195,0.07472498410406098,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.07472498410406098,0.11289642071992166,0.0,0.22579284143984332,0.11289642071992166,0.11289642071992166,0.1431947944780556,0.1431947944780556,0.07472498410406098,0.07472498410406098,0.11289642071992166,0.11289642071992166,0.0,0.0,0.1431947944780556,0.1431947944780556,0.07472498410406098,0.07472498410406098,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.0,0.0,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.1431947944780556,0.1431947944780556,0.07472498410406098,0.07472498410406098,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.0,0.1431947944780556,0.0,0.0,0.0,0.0,0.07472498410406098,0.0,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.0,0.0
BIQUÍNI COPACABANA S1,,,0,1,0,0,1,0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"data de promoção: de 24 de fevereiro a 31 de março de 2025. biquíni coral com contraste a azul navy. top com copas amovíveis, alças reguláveis e aperta nas costas. a parte de baixo está disponível em dois formatos: regular e tanga. disponível nos tamanhos xs, s, m, l e xl. a modelo está a utilizar o tamanho s.",0.07472498410406098,0.11289642071992166,0.0,0.07472498410406098,0.0,0.07472498410406098,0.07472498410406098,0.07472498410406098,0.0,0.0,0.0,0.0,0.0,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.1431947944780556,0.1431947944780556,0.1431947944780556,0.1431947944780556,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.1431947944780556,0.0,0.0,0.0,0.0,0.0,0.22579284143984332,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.1431947944780556,0.0,0.11289642071992166,0.11289642071992166,0.1431947944780556,0.1431947944780556,0.11289642071992166,0.11289642071992166,0.07472498410406098,0.07472498410406098,0.14944996820812195,0.07472498410406098,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.07472498410406098,0.11289642071992166,0.0,0.22579284143984332,0.11289642071992166,0.11289642071992166,0.0,0.0,0.07472498410406098,0.07472498410406098,0.11289642071992166,0.11289642071992166,0.0,0.0,0.0,0.0,0.07472498410406098,0.07472498410406098,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.1431947944780556,0.1431947944780556,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.0,0.0,0.07472498410406098,0.07472498410406098,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.1431947944780556,0.0,0.0,0.0,0.0,0.0,0.07472498410406098,0.0,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.11289642071992166,0.0,0.0
