feature_name,source
variant_other_formato cueca:M / XL / Tanga,Variant option dummy variable
variant_other_formato cueca:M / XS / Regular,Variant option dummy variable
variant_other_formato cueca:M / XS / Tanga,Variant option dummy variable
variant_other_formato cueca:S / L / Regular,Variant option dummy variable
variant_other_formato cueca:S / L / Tanga,Variant option dummy variable
variant_other_formato cueca:S / M / Regular,Variant option dummy variable
variant_other_formato cueca:S / M / Tanga,Variant option dummy variable
variant_other_formato cueca:S / S / Regular,Variant option dummy variable
variant_other_formato cueca:S / S / Tanga,Variant option dummy variable
variant_other_formato cueca:S / XL / Regular,Variant option dummy variable
variant_other_formato cueca:S / XL / Tanga,Variant option dummy variable
variant_other_formato cueca:S / XS / Regular,Variant option dummy variable
variant_other_formato cueca:S / XS / Tanga,Variant option dummy variable
variant_other_formato cueca:XL / L / Regular,Variant option dummy variable
variant_other_formato cueca:XL / L / Tanga,Variant option dummy variable
variant_other_formato cueca:XL / M / Regular,Variant option dummy variable
variant_other_formato cueca:XL / M / Tanga,Variant option dummy variable
variant_other_formato cueca:XL / S / Regular,Variant option dummy variable
variant_other_formato cueca:XL / S / Tanga,Variant option dummy variable
variant_other_formato cueca:XL / XL / Regular,Variant option dummy variable
variant_other_formato cueca:XL / XL / Tanga,Variant option dummy variable
variant_other_formato cueca:XL / XS / Regular,Variant option dummy variable
variant_other_formato cueca:XL / XS / Tanga,Variant option dummy variable
variant_other_formato cueca:XS / L / Regular,Variant option dummy variable
variant_other_formato cueca:XS / L / Tanga,Variant option dummy variable
variant_other_formato cueca:XS / M / Regular,Variant option dummy variable
variant_other_formato cueca:XS / M / Tanga,Variant option dummy variable
variant_other_formato cueca:XS / S / Regular,Variant option dummy variable
variant_other_formato cueca:XS / S / Tanga,Variant option dummy variable
variant_other_formato cueca:XS / XL / Regular,Variant option dummy variable
variant_other_formato cueca:XS / XL / Tanga,Variant option dummy variable
variant_other_formato cueca:XS / XS / Regular,Variant option dummy variable
variant_other_formato cueca:XS / XS / Tanga,Variant option dummy variable
variant_other_padrão:BORDEAUX / L,Variant option dummy variable
variant_other_padrão:CINZA / L,Variant option dummy variable
variant_other_padrão:CINZA / M,Variant option dummy variable
variant_other_padrão:CINZA / S,Variant option dummy variable
variant_other_padrão:PRETO / L,Variant option dummy variable
variant_other_padrão:ROSA / L,Variant option dummy variable
variant_other_padrão:ROSA / M,Variant option dummy variable
variant_other_padrão:ROSA / S,Variant option dummy variable
variant_other_padrão:VICHY ROSA,Variant option dummy variable
variant_other_padrão:s2-preto,Variant option dummy variable
variant_other_padrão:s2-verde-esmeralda,Variant option dummy variable
variant_other_padrão:s3-branco,Variant option dummy variable
variant_other_padrão:s4-azul,Variant option dummy variable
variant_other_padrão:s5-cinza,Variant option dummy variable
variant_other_padrão:s6-preto,Variant option dummy variable
variant_other_padrão:s6-verde,Variant option dummy variable
variant_other_tamanho cueca:L / L,Variant option dummy variable
variant_other_tamanho cueca:L / L / Regular,Variant option dummy variable
variant_other_tamanho cueca:L / L / Tanga,Variant option dummy variable
variant_other_tamanho cueca:L / M,Variant option dummy variable
variant_other_tamanho cueca:L / M / Regular,Variant option dummy variable
variant_other_tamanho cueca:L / M / Tanga,Variant option dummy variable
variant_other_tamanho cueca:L / S,Variant option dummy variable
variant_other_tamanho cueca:L / S / Regular,Variant option dummy variable
variant_other_tamanho cueca:L / S / Tanga,Variant option dummy variable
variant_other_tamanho cueca:L / XL,Variant option dummy variable
variant_other_tamanho cueca:L / XL / Regular,Variant option dummy variable
variant_other_tamanho cueca:L / XL / Tanga,Variant option dummy variable
variant_other_tamanho cueca:L / XS,Variant option dummy variable
variant_other_tamanho cueca:L / XS / Regular,Variant option dummy variable
variant_other_tamanho cueca:L / XS / Tanga,Variant option dummy variable
variant_other_tamanho cueca:M / L,Variant option dummy variable
variant_other_tamanho cueca:M / L / Regular,Variant option dummy variable
variant_other_tamanho cueca:M / L / Tanga,Variant option dummy variable
variant_other_tamanho cueca:M / M,Variant option dummy variable
variant_other_tamanho cueca:M / M / Regular,Variant option dummy variable
variant_other_tamanho cueca:M / M / Tanga,Variant option dummy variable
variant_other_tamanho cueca:M / S,Variant option dummy variable
variant_other_tamanho cueca:M / S / Regular,Variant option dummy variable
variant_other_tamanho cueca:M / S / Tanga,Variant option dummy variable
variant_other_tamanho cueca:M / XL,Variant option dummy variable
variant_other_tamanho cueca:M / XL / Regular,Variant option dummy variable
variant_other_tamanho cueca:M / XL / Tanga,Variant option dummy variable
variant_other_tamanho cueca:M / XS,Variant option dummy variable
