source_product_id,target_product_id,relationship_type
7761873731631,7761881202735,related_products
7761873731631,7761881169967,related_products
7761873731631,7761975509039,related_products
7761873731631,7761974329391,related_products
7761873731631,7761916166191,complementary_products
7761873731631,7764352827439,complementary_products
7761873731631,7764358889519,complementary_products
7761873731631,7764353024047,complementary_products
7761873731631,7764352139311,complementary_products
7761873731631,7764352303151,complementary_products
7761873731631,7764364787759,complementary_products
7761974329391,7761881169967,complementary_products
7761974329391,7761881202735,complementary_products
7761974329391,7761916166191,complementary_products
7761974329391,7761972559919,complementary_products
7763945095215,7761882808367,related_products
7763945095215,7761882841135,related_products
7763945095215,7761882873903,related_products
7763945095215,7761883004975,related_products
7763945095215,7761882972207,related_products
7763945095215,7761921671215,related_products
7763945095215,7761920852015,related_products
7763945095215,7761918754863,related_products
7763945095215,7761919148079,related_products
7763945095215,7761918591023,related_products
7763945390127,7761921671215,related_products
7763945390127,7761920852015,related_products
7763945390127,7761918754863,related_products
7763945390127,7761919148079,related_products
7763945390127,7761921441839,related_products
7763945390127,7761920753711,related_products
7763945390127,7761918591023,related_products
7763945390127,7761921310767,related_products
7763945390127,7761920589871,related_products
7763945390127,7761918394415,related_products
7764368752687,7764368556079,related_products
7764368752687,7764368425007,related_products
7764368752687,7764368228399,related_products
7764368752687,7764368162863,related_products
