product_id,n_interactions,n_unique_persons,first_interaction_date,last_interaction_date,n_checkout_item,n_ordered_item,n_product_shared,n_product_viewed,n_product_wishlisted,n_variant_meta_added,avg_price_viewed,avg_price_checkout,total_quantity_ordered,total_value_ordered,avg_price_ordered_weighted,days_since_last_interaction,days_since_first_interaction
7953528750307,41,19,2025-01-12 01:10:26.011999+00:00,2025-04-04 07:46:01.863372+00:00,7,0,0,26,5,3,10.669303608886342,10.68635546704231,0.0,0.0,0.0,3,85
7953528881379,5,1,2025-03-06 20:01:44.764600+00:00,2025-04-02 20:32:58.269919+00:00,0,0,0,5,0,0,22.106428997965956,0.0,0.0,0.0,0.0,4,31
7953529209059,14,10,2025-01-22 03:06:12.044373+00:00,2025-03-24 14:55:12.944763+00:00,0,0,0,12,2,0,13.724072095426413,0.0,0.0,0.0,0.0,14,75
7953532289251,16,5,2025-01-30 18:42:50.501374+00:00,2025-04-01 22:03:38.424236+00:00,0,0,0,11,5,0,16.041833126970335,0.0,0.0,0.0,0.0,5,66
7953532584163,43,5,2025-02-22 15:47:27.438301+00:00,2025-04-05 11:46:43+00:00,25,9,0,6,3,0,10.659648230474275,10.814648556030857,9.0,97.12216386985794,10.791351541095327,2,43
7953532846307,2,2,2025-02-01 19:01:43.809286+00:00,2025-02-12 01:19:38.954661+00:00,0,0,0,2,0,0,13.38629242995517,0.0,0.0,0.0,0.0,54,64
7953533075683,1,1,2025-01-08 08:25:27.925385+00:00,2025-01-08 08:25:27.925385+00:00,0,0,0,1,0,0,71.04608377853478,0.0,0.0,0.0,0.0,89,89
7953533403363,11,3,2025-02-20 22:13:34.131525+00:00,2025-04-01 22:21:45.659345+00:00,0,0,0,7,4,0,30.03223041322546,0.0,0.0,0.0,0.0,5,45
7953533599971,12,4,2025-01-13 12:09:43.644246+00:00,2025-04-01 22:21:54.659355+00:00,0,0,0,8,4,0,41.85526276958698,0.0,0.0,0.0,0.0,5,84
7953535008995,3,3,2025-01-07 19:39:11.010016+00:00,2025-01-15 22:01:32.028351+00:00,0,0,0,3,0,0,28.779583258806955,0.0,0.0,0.0,0.0,81,89
7953535598819,24,8,2025-01-20 13:06:47.257266+00:00,2025-04-01 21:57:52.143603+00:00,7,0,0,11,5,1,10.672079249609006,10.68635546704231,0.0,0.0,0.0,5,77
7953536090339,39,11,2025-02-01 22:32:12.945079+00:00,2025-03-24 14:55:15.832813+00:00,20,5,0,11,3,0,13.689833052617553,13.989720609735311,5.0,69.91521289995296,13.983042579990592,14,64
7953537007843,6,3,2025-01-13 12:10:24.644282+00:00,2025-03-24 14:59:27.162948+00:00,0,0,0,4,2,0,29.516233393642914,0.0,0.0,0.0,0.0,14,84
7953538449635,65,11,2025-01-12 13:50:35.509398+00:00,2025-04-06 14:02:28+00:00,36,10,0,13,6,0,10.57485862668134,107.5503920103319,10.0,103.00803145325312,10.300803145325313,1,85
7953538646243,3,3,2025-01-07 19:39:23.010054+00:00,2025-02-04 15:09:41.117937+00:00,0,0,0,3,0,0,20.811285814282027,0.0,0.0,0.0,0.0,61,89
7953539039459,35,10,2025-01-28 00:32:40.186662+00:00,2025-04-01 22:11:18.495589+00:00,14,0,0,15,6,0,13.698895814357975,13.991681224301093,0.0,0.0,0.0,5,69
7953540219107,3,2,2025-01-24 17:33:58.683311+00:00,2025-01-31 14:27:01.243123+00:00,0,0,0,3,0,0,15.509556314076335,0.0,0.0,0.0,0.0,66,72
7953541202147,58,14,2025-01-12 23:09:32.324479+00:00,2025-04-04 07:45:55.863241+00:00,21,9,0,21,4,3,10.714783572814364,10.256853618908568,9.0,92.47687457059622,10.275208285621803,3,84
7972739121379,47,9,2025-01-12 01:08:24.746394+00:00,2025-03-24 14:48:42.068884+00:00,22,12,0,9,3,1,31.885840340545542,31.702620575308014,12.0,383.2203316956259,31.935027641302156,14,85
7972739809507,9,7,2025-01-11 17:45:51.994809+00:00,2025-03-29 15:18:09.109538+00:00,0,1,0,6,2,0,31.714012920796815,0.0,1.0,32.38984382724723,32.38984382724723,8,85
7972740432099,9,5,2025-02-15 14:21:26.112806+00:00,2025-03-24 14:49:22.341116+00:00,0,0,0,6,3,0,32.04207486235027,0.0,0.0,0.0,0.0,14,51
7972740858083,8,5,2025-03-06 14:52:21.949530+00:00,2025-03-29 15:18:15.793224+00:00,0,0,0,6,2,0,32.43149773772978,0.0,0.0,0.0,0.0,8,32
7972789256419,1,1,2025-01-23 16:47:36+00:00,2025-01-23 16:47:36+00:00,0,1,0,0,0,0,0.0,0.0,1.0,26.811130365998995,26.811130365998995,73,73
7972790075619,25,7,2025-01-19 14:27:34.309902+00:00,2025-03-24 14:49:24.341148+00:00,11,4,0,7,3,0,26.590850900781906,27.182070749799404,4.0,108.71644851042453,27.179112127606132,14,78
7972790272227,6,4,2025-03-08 14:49:29.352082+00:00,2025-03-29 15:18:23.793266+00:00,0,0,0,4,2,0,27.023432109607878,0.0,0.0,0.0,0.0,8,30
7972800168163,2,1,2025-01-12 01:08:38.746436+00:00,2025-01-12 01:08:40.746450+00:00,0,0,0,1,1,0,40.9154393743937,0.0,0.0,0.0,0.0,85,85
7972811702499,1,1,2025-02-18 10:55:03.443272+00:00,2025-02-18 10:55:03.443272+00:00,0,0,0,1,0,0,41.837143414372264,0.0,0.0,0.0,0.0,48,48
7972813308131,3,3,2025-01-12 01:08:12.555807+00:00,2025-01-26 22:21:10.358703+00:00,0,0,0,3,0,0,10.248697885843734,0.0,0.0,0.0,0.0,70,85
7972817240291,3,2,2025-01-07 19:37:52.289195+00:00,2025-02-04 21:25:55.171660+00:00,0,0,0,3,0,0,34.129586620815,0.0,0.0,0.0,0.0,61,89
7972818845923,2,2,2025-01-15 22:04:14.390461+00:00,2025-02-03 12:58:34.010150+00:00,0,0,0,2,0,0,13.256922869078704,0.0,0.0,0.0,0.0,63,81
7972819861731,1,1,2025-01-19 17:38:23.293254+00:00,2025-01-19 17:38:23.293254+00:00,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,77,77
7972820484323,1,1,2025-02-03 12:58:47.010187+00:00,2025-02-03 12:58:47.010187+00:00,0,0,0,1,0,0,30.639138579081767,0.0,0.0,0.0,0.0,63,63
7972821598435,3,2,2025-01-27 23:46:52.699869+00:00,2025-02-03 12:59:49.656053+00:00,0,0,0,3,0,0,13.313629233924635,0.0,0.0,0.0,0.0,63,69
7972835164387,6,5,2025-01-12 01:07:56.555788+00:00,2025-03-22 12:15:14.311824+00:00,0,0,0,5,1,0,34.567097818871936,0.0,0.0,0.0,0.0,16,85
7972839588067,1,1,2025-01-23 08:02:25.452145+00:00,2025-01-23 08:02:25.452145+00:00,0,0,0,1,0,0,34.242476282661755,0.0,0.0,0.0,0.0,74,74
7972840472803,20,10,2025-01-23 08:02:28.616095+00:00,2025-03-24 14:49:17.341071+00:00,7,0,0,10,3,0,34.94446948701595,147.39777418442628,0.0,0.0,0.0,14,74
7972841193699,19,10,2025-01-16 20:10:26.770844+00:00,2025-03-30 15:48:19.143648+00:00,0,0,0,11,6,2,34.90447587854306,0.0,0.0,0.0,0.0,7,80
7972842569955,1,1,2025-01-23 08:01:35.524991+00:00,2025-01-23 08:01:35.524991+00:00,0,0,0,1,0,0,34.242476282661755,0.0,0.0,0.0,0.0,74,74
8003938582755,1,1,2025-02-06 15:32:18.334085+00:00,2025-02-06 15:32:18.334085+00:00,0,0,0,1,0,0,1.559799596947784,0.0,0.0,0.0,0.0,59,59
8003945070819,1,1,2025-01-08 08:21:43.064905+00:00,2025-01-08 08:21:43.064905+00:00,0,0,0,1,0,0,1.551224536649231,0.0,0.0,0.0,0.0,89,89
8003952115939,65,10,2025-01-17 16:18:17.319268+00:00,2025-03-12 22:50:24+00:00,38,4,0,14,0,9,1.7167364672517444,1.5759592279887533,4.0,6.472317359294517,1.6180793398236293,25,79
8353378271573,94,35,2025-01-07 21:30:58.876344+00:00,2025-03-17 01:39:45.173097+00:00,39,17,0,37,0,1,21.010752264822546,21.521970470563407,17.0,358.5155906013729,21.08915238831605,21,89
8621403341141,3,3,2025-02-22 17:01:40.744926+00:00,2025-03-16 13:37:49.711546+00:00,0,0,0,3,0,0,9.691016638317093,0.0,0.0,0.0,0.0,22,43
8621417955669,2,2,2025-02-22 17:02:46.280356+00:00,2025-03-15 01:22:18.353473+00:00,0,0,0,2,0,0,9.624102532813096,0.0,0.0,0.0,0.0,23,43
8621418545493,5,3,2025-02-09 18:41:05.090256+00:00,2025-03-15 01:21:52.353421+00:00,0,0,0,5,0,0,9.444782201216299,0.0,0.0,0.0,0.0,23,56
8621421592917,9,4,2025-02-14 16:45:40.675538+00:00,2025-03-19 18:51:46.322703+00:00,6,0,0,3,0,0,9.771538898470583,9.436959537463157,0.0,0.0,0.0,18,51
8653483966805,7,1,2025-01-19 20:03:55.144943+00:00,2025-01-19 20:04:49.137589+00:00,0,0,2,4,1,0,7.0,0.0,0.0,0.0,0.0,77,77
8653572604245,36,16,2025-01-15 20:05:14.645491+00:00,2025-04-07 09:48:07.377002+00:00,8,10,0,12,3,3,6.340143416782262,6.4794679006518,10.0,64.79545720485733,6.479545720485733,0,81
8845051035989,59,6,2025-01-28 18:58:36.179226+00:00,2025-04-01 19:19:55+00:00,28,13,0,7,11,0,16.133750740840537,15.822626896841118,13.0,206.79778347776704,15.90752180598208,5,68
8845079544149,64,6,2025-01-11 17:44:26.763261+00:00,2025-04-03 17:12:02+00:00,32,13,0,10,9,0,15.900578603482833,15.959671251395065,13.0,204.82875843161816,15.756058340893704,3,85
8845084426581,73,12,2025-01-18 20:13:15.578306+00:00,2025-04-05 21:52:42+00:00,35,13,0,16,9,0,15.86949872311112,16.281989765659983,13.0,211.4753227794217,16.267332521493977,1,78
8845088031061,53,7,2025-01-11 17:44:34.763289+00:00,2025-04-03 17:12:02+00:00,21,10,0,12,10,0,16.062942987226197,16.24017245961181,10.0,161.81864757287303,16.181864757287304,3,85
8845090324821,17,4,2025-01-08 16:33:34+00:00,2025-03-24 15:21:06.924747+00:00,0,2,0,7,8,0,15.94597352748553,0.0,2.0,30.697859749240386,15.348929874620193,13,88
8845091471701,4,1,2025-03-24 15:05:22.356799+00:00,2025-03-24 15:14:42.873268+00:00,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,13,13
8845096419669,44,6,2025-01-15 22:01:11.884274+00:00,2025-03-24 15:20:38.881912+00:00,18,8,0,8,10,0,16.050882715566594,16.22111184009235,8.0,129.71395235880848,16.21424404485106,13,81
8845153796437,34,5,2025-01-11 17:44:13.763016+00:00,2025-04-06 14:02:28+00:00,16,0,0,9,9,0,15.96653630717274,345.0036495710384,0.0,0.0,0.0,1,85
8845164577109,18,5,2025-01-22 15:38:36.214252+00:00,2025-03-24 15:19:05.047907+00:00,0,0,0,10,8,0,15.90704714783099,0.0,0.0,0.0,0.0,13,74
8845172998485,16,6,2025-01-22 15:38:44.560685+00:00,2025-03-24 15:19:59.873315+00:00,0,0,0,9,7,0,15.875542427300989,0.0,0.0,0.0,0.0,13,74
8845174407509,16,2,2025-02-26 10:07:13.038789+00:00,2025-03-24 15:17:11.433461+00:00,0,0,0,8,8,0,16.07395593320158,0.0,0.0,0.0,0.0,13,40
8845177651541,12,5,2025-01-13 15:49:18+00:00,2025-03-29 22:55:04.787848+00:00,0,6,0,1,5,0,15.463650044107727,0.0,6.0,91.64372029595648,15.273953382659414,8,83
8845191086421,90,9,2025-01-15 22:01:19.028276+00:00,2025-04-05 21:52:42+00:00,55,13,0,14,7,1,21.2721821945998,21.021548703695235,13.0,274.01882654187,21.078371272451538,1,81
8845198459221,44,4,2025-01-28 18:58:48.179244+00:00,2025-04-05 21:52:42+00:00,24,4,0,7,9,0,21.394565021140345,21.809748848138387,4.0,87.23899539255355,21.809748848138387,1,68
8845199442261,17,3,2025-01-28 18:58:47.179235+00:00,2025-03-29 22:55:19.207841+00:00,0,0,0,7,10,0,21.543931215315894,0.0,0.0,0.0,0.0,8,68
8845201736021,9,2,2025-01-08 15:56:36+00:00,2025-03-24 15:20:05.968842+00:00,0,2,0,2,5,0,21.543931215315894,0.0,2.0,40.99915496710629,20.499577483553146,13,88
8845205176661,16,3,2025-03-14 18:00:49.153036+00:00,2025-03-24 15:17:13.433495+00:00,0,0,0,9,7,0,26.97893387596658,0.0,0.0,0.0,0.0,13,23
8845209338197,42,4,2025-01-28 18:57:45.239803+00:00,2025-03-24 15:20:58.023271+00:00,14,8,0,9,10,1,26.828441688731598,25.947987311538412,8.0,210.90978295252162,26.363722869065203,13,68
8845211009365,37,5,2025-01-16 06:22:55.891378+00:00,2025-03-24 15:17:05.949293+00:00,12,9,0,9,7,0,26.719948850539932,25.877173838489018,9.0,233.70943696572763,25.96771521841418,13,81
8845218349397,15,4,2025-01-16 06:21:45.047437+00:00,2025-03-24 15:20:16.881897+00:00,0,0,0,9,6,0,26.708549217782956,0.0,0.0,0.0,0.0,13,81
8845222216021,36,8,2025-01-13 15:49:18+00:00,2025-04-01 13:40:19+00:00,1,12,0,12,11,0,27.00257723485271,26.99052404974928,12.0,314.98305273663783,26.248587728053153,6,83
8845225296213,39,9,2025-01-18 20:13:01.578264+00:00,2025-03-24 15:19:12.047993+00:00,6,9,0,15,9,0,26.487207624848917,27.028669928922195,9.0,244.2467286426763,27.13852540474181,13,78
8845242073429,43,7,2025-02-08 22:15:12.727583+00:00,2025-04-01 19:19:55+00:00,14,5,0,13,10,1,26.795366119775167,26.93569184703123,5.0,134.67845923515614,26.93569184703123,5,57
8845247119701,68,14,2025-01-12 01:09:11.053479+00:00,2025-04-06 14:02:28+00:00,43,0,0,18,7,0,26.526023535475385,231.03895542155087,0.0,0.0,0.0,1,85
8845254066517,2,1,2025-01-13 13:38:15.372321+00:00,2025-01-13 13:38:45.813246+00:00,0,0,0,2,0,0,86.96382550693048,0.0,0.0,0.0,0.0,84,84
8845261930837,3,3,2025-01-13 13:38:47.813257+00:00,2025-03-30 13:20:39.209773+00:00,0,0,0,3,0,0,90.17378562074771,0.0,0.0,0.0,0.0,8,84
8845263667541,3,2,2025-01-12 01:09:51.677264+00:00,2025-01-13 13:38:07.372283+00:00,0,0,0,2,1,0,87.01224862922997,0.0,0.0,0.0,0.0,84,85
8845264847189,3,2,2025-01-12 01:09:40.053530+00:00,2025-01-13 13:38:43.813209+00:00,0,0,0,3,0,0,86.99610758846347,0.0,0.0,0.0,0.0,84,85
8850201739605,2,2,2025-01-12 01:09:50.053540+00:00,2025-01-13 13:38:49.813267+00:00,0,0,0,2,0,0,87.01224862922997,0.0,0.0,0.0,0.0,84,85
8986158661973,4,4,2025-02-27 22:53:42.925258+00:00,2025-03-28 20:05:43.995752+00:00,0,0,0,2,2,0,9.58076765512904,0.0,0.0,0.0,0.0,9,38
8986160202069,19,6,2025-01-16 20:10:14.770798+00:00,2025-04-01 21:43:41+00:00,10,0,0,3,4,2,9.511839833192559,9.73579223386671,0.0,0.0,0.0,5,80
8986161578325,10,7,2025-01-12 13:47:31.876072+00:00,2025-03-24 15:22:52.772553+00:00,0,0,0,5,4,1,9.51916814756219,0.0,0.0,0.0,0.0,13,85
8986175734101,31,6,2025-01-08 08:26:18.829817+00:00,2025-03-24 15:22:38.318988+00:00,16,4,0,6,4,1,8.31993842523266,6.483783725656605,4.0,25.92629773341306,6.481574433353265,13,89
8986176225621,30,6,2025-01-09 19:45:14.921762+00:00,2025-03-24 15:02:41.555014+00:00,16,4,0,6,3,1,8.352896027170646,6.483783725656605,4.0,25.92629773341306,6.481574433353265,14,87
8986176684373,36,6,2025-01-12 17:04:45.467839+00:00,2025-04-02 16:33:51+00:00,17,10,0,5,3,1,8.74234424335113,6.4816672234334725,10.0,64.56083963269654,6.456083963269654,4,84
8986188677461,5,1,2025-03-24 14:56:38.338761+00:00,2025-03-24 15:22:15.254796+00:00,0,0,0,1,4,0,6.430701076330473,0.0,0.0,0.0,0.0,13,14
8986189201749,30,3,2025-02-12 20:10:25.995549+00:00,2025-03-24 15:22:26.120873+00:00,16,4,0,4,5,1,7.396111707442431,6.483783725656605,4.0,25.92629773341306,6.481574433353265,13,53
8986189758805,4,1,2025-03-24 14:56:39.338807+00:00,2025-03-24 15:01:40.111092+00:00,0,0,0,1,3,0,6.430701076330473,0.0,0.0,0.0,0.0,14,14
8986203947349,7,7,2025-01-19 17:47:35.454244+00:00,2025-03-23 20:17:29.481262+00:00,0,0,0,7,0,0,12.869623242489732,0.0,0.0,0.0,0.0,14,77
8986205487445,20,9,2025-01-14 22:12:11.057630+00:00,2025-03-25 14:40:32+00:00,6,6,0,6,1,1,12.645351849730298,12.95139158430671,6.0,77.98998740585755,12.99833123430959,13,82
8986206699861,1,1,2025-01-22 17:02:01.739959+00:00,2025-01-22 17:02:01.739959+00:00,0,0,0,1,0,0,12.425837833450066,0.0,0.0,0.0,0.0,74,74
8986207256917,13,7,2025-01-18 04:27:00.643736+00:00,2025-03-18 21:58:42.962050+00:00,5,0,0,7,0,1,12.79116676779332,12.933401647113111,0.0,0.0,0.0,19,79
8986207748437,1,1,2025-01-22 17:01:56.739921+00:00,2025-01-22 17:01:56.739921+00:00,0,0,0,1,0,0,12.425837833450066,0.0,0.0,0.0,0.0,74,74
8986208731477,35,18,2025-01-12 23:11:16.157709+00:00,2025-03-18 21:58:23.961997+00:00,1,5,0,21,3,5,12.821766818838631,13.031577017275024,5.0,65.15788508637512,13.031577017275023,19,84
8986209681749,9,4,2025-01-18 16:12:13.288395+00:00,2025-02-17 15:33:16.520115+00:00,1,5,0,3,0,0,12.353289808454258,12.380857576587113,5.0,61.75859133090485,12.35171826618097,48,78
8987036746069,7,3,2025-01-10 00:01:55.242178+00:00,2025-03-24 15:02:46.280990+00:00,0,0,0,3,4,0,29.17760199547702,0.0,0.0,0.0,0.0,14,87
8987063976277,28,5,2025-02-08 14:26:58.722691+00:00,2025-03-24 14:59:09.322862+00:00,17,6,0,4,1,0,37.819660001520425,28.050549297226496,6.0,168.30329578335898,28.050549297226496,14,58
8987113128277,6,2,2025-01-10 00:02:02.242190+00:00,2025-03-24 15:02:43.280967+00:00,0,0,0,3,3,0,34.45223804600004,0.0,0.0,0.0,0.0,14,87
8987118371157,27,8,2025-02-04 03:34:44.612197+00:00,2025-04-02 16:33:51+00:00,4,6,1,8,7,1,31.403494318998987,25.159145374468252,6.0,155.70891129105158,25.951485215175264,4,62
8987121418581,60,10,2025-01-25 10:17:23.418315+00:00,2025-04-02 16:33:51+00:00,18,13,4,14,3,8,44.161076192592155,37.03465339348581,13.0,421.61894692042114,32.43222668618624,4,72
8987128660309,13,4,2025-01-21 13:36:59.776536+00:00,2025-04-02 16:33:51+00:00,1,6,0,3,3,0,36.129131491114215,25.98660072684327,6.0,155.70891129105158,25.951485215175264,4,76
8987130659157,12,3,2025-03-14 18:02:29+00:00,2025-04-02 16:33:51+00:00,1,6,0,3,2,0,32.59376647286988,32.49953323983657,6.0,194.7337010883076,32.45561684805127,4,23
8987136000341,6,3,2025-02-21 07:17:43.196914+00:00,2025-03-24 15:01:08.664656+00:00,0,0,0,2,4,0,25.5279434768405,0.0,0.0,0.0,0.0,14,45
