source_product_id,recommended_product_id,product_title,rank,hybrid_score,source,base_knn_similarity,pop_count,group_freq
gid://shopify/Product/9641397584220,gid://shopify/Product/9641446867292,Sanjo STC 70 High // Ecru - 37,3,0.05,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641402466652,Sanjo K100 // All Black - 42,4,0.05,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641427206492,Title Not Found,5,0.0427491370018008,similarity,0.0427491370018008,0.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641448571228,Title Not Found,6,0.0360134597874054,similarity,0.0360134597874054,0.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641448407388,Title Not Found,7,0.0348249176724144,similarity,0.0348249176724144,0.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641469018460,Title Not Found,8,0.033480699711234,similarity,0.033480699711234,0.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641450766684,Title Not Found,9,0.0334146505833974,similarity,0.0334146505833974,0.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641446605148,Title Not Found,10,0.0331066118553741,similarity,0.0331066118553741,0.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641446244700,Title Not Found,11,0.0328868568642042,similarity,0.0328868568642042,0.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641443656028,Title Not Found,12,0.0325634626385946,similarity,0.0325634626385946,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641399419228,Title Not Found,1,0.277647114484964,similarity,0.277647114484964,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641397551452,Title Not Found,2,0.2636303201647736,similarity,0.2636303201647736,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641397518684,Title Not Found,3,0.2622336975702899,similarity,0.2622336975702899,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641402532188,Title Not Found,4,0.2513734563728784,similarity,0.2513734563728784,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641404793180,Title Not Found,5,0.2479381585939587,similarity,0.2479381585939587,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641403384156,Title Not Found,6,0.244838965677239,similarity,0.244838965677239,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641403318620,Title Not Found,7,0.2419752865103094,similarity,0.2419752865103094,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641402630492,Title Not Found,8,0.2340884528376274,similarity,0.2340884528376274,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641397485916,Title Not Found,9,0.2321569899586631,similarity,0.2321569899586631,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641450963292,Title Not Found,10,0.2229459936913067,similarity,0.2229459936913067,0.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641402466652,Sanjo K100 // All Black - 42,11,0.05,popularity,0.0,1.0,0.0
gid://shopify/Product/9641399386460,gid://shopify/Product/9641446867292,Sanjo STC 70 High // Ecru - 37,12,0.05,popularity,0.0,1.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641397551452,Title Not Found,1,0.4190148669585948,similarity,0.4190148669585948,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641397518684,Title Not Found,2,0.4060994136302407,similarity,0.4060994136302407,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641402532188,Title Not Found,3,0.3975005992950738,similarity,0.3975005992950738,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641404793180,Title Not Found,4,0.3799700647892706,similarity,0.3799700647892706,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641403384156,Title Not Found,5,0.3483882361368598,similarity,0.3483882361368598,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641403318620,Title Not Found,6,0.3447771886419193,similarity,0.3447771886419193,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641397485916,Title Not Found,7,0.3224489560209523,similarity,0.3224489560209523,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641402630492,Title Not Found,8,0.309549810583013,similarity,0.309549810583013,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641399386460,Title Not Found,9,0.277647114484964,similarity,0.277647114484964,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641404891484,Title Not Found,10,0.2591657152540603,similarity,0.2591657152540603,0.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641402466652,Sanjo K100 // All Black - 42,11,0.05,popularity,0.0,1.0,0.0
gid://shopify/Product/9641399419228,gid://shopify/Product/9641446867292,Sanjo STC 70 High // Ecru - 37,12,0.05,popularity,0.0,1.0,0.0
gid://shopify/Product/9641399451996,gid://shopify/Product/9641400926556,Title Not Found,1,0.4283389441933256,similarity,0.4283389441933256,0.0,0.0
gid://shopify/Product/9641399451996,gid://shopify/Product/9641403482460,Title Not Found,2,0.4212511285748684,similarity,0.4212511285748684,0.0,0.0
gid://shopify/Product/9641399451996,gid://shopify/Product/9641400893788,Title Not Found,3,0.3931764155370941,similarity,0.3931764155370941,0.0,0.0
gid://shopify/Product/9641399451996,gid://shopify/Product/9641403515228,Title Not Found,4,0.3540635634980291,similarity,0.3540635634980291,0.0,0.0
gid://shopify/Product/9641399451996,gid://shopify/Product/9641399845212,Title Not Found,5,0.3263855274769933,similarity,0.3263855274769933,0.0,0.0
gid://shopify/Product/9641399451996,gid://shopify/Product/9641402663260,Title Not Found,6,0.2945251742773054,similarity,0.2945251742773054,0.0,0.0
