product_id,product_name,checkout_count
9789937123669,BIQUÍNI MAUI S1 Cueca - S / Tanga,1
9789938368853,BIQUÍNI MAUI S2 Top - M,1
9789938991445,BIQUÍNI MAUI S2 Cueca - S / Regular,1
9789955735893,BIQUÍNI LANIKAI S2 Cueca - M / Tanga,1
9789978476885,BIQUÍNI LANI S1 Top - S,1
9789984244053,BIQUÍNI LANI S1 Cueca - S / Tanga,1
9790003118421,BIQUÍNI HAWI S1 Cueca - M / Regular,1
9790003118421,BIQUÍNI HAWI S1 Cueca - XS / Regular,1
9790003118421,BIQUÍNI HAWI S1 Cueca - XS / Tanga,1
9790004298069,BIQUÍNI HAWI S2 Top - M,1
9790004298069,BIQUÍNI HAWI S2 Top - S,1
9790004298069,BIQUÍNI HAWI S2 Top - XS,1
9790005018965,BIQUÍNI HAWI Cueca - M / Regular,1
9790005018965,BIQUÍNI HAWI Cueca - S / Tanga,1
9790005018965,BIQUÍNI HAWI Cueca - XS / Regular,1
9790006460757,BIQUÍNI HAWI S3 Top - M,1
9790007247189,BIQUÍNI HAWI S3 Cueca - M / Regular,1
9790016454997,BIQUÍNI HAWI S7 Top - M,1
9790016454997,BIQUÍNI HAWI S7 Top - S,1
9790017208661,BIQUÍNI HAWI S7 Cueca - M / Tanga,1
9790017208661,BIQUÍNI HAWI S7 Cueca - S / Tanga,1
9790024712533,TRIQUÍNI MOLOKAI S1 - S,1
9790024712533,TRIQUÍNI MOLOKAI S1 - XS,1
9822214062421,LAVENDER PALM SPRINGS CROP TOP - S/M,1
9822217634133,LAVENDER PALM SPRINGS SKIRT - S/M,1
9822237720917,WHITE HULA TROUSERS - S/M,1
7953514889443,BLACK TRACKSUIT CROP TOP - M/L,1
9833206579541,BONÉ MISSUS S24,1
7953522000099,BROWN TRACKSUIT CROP TOP - M/L,1
8986175734101,HAIR BAND FW'23/24 | GREY,1
8986176225621,HAIR BAND FW'23/24 | PINK,1
8986176684373,HAIR BAND FW'23/24 | YELLOW,1
8986189201749,HAIR BAND FW'23/24 | BROWN,1
8994389721429,VESTIDO PONTA ACAIA - CASTANHO,1
9393033281877,SS'24 TOTE BAG MISSUS S2,1
9393052844373,PARÉO TANGUÁ S8,1
9393065525589,STRAWBERRY MANDALA CROP TOP - S/M,1
9393072177493,LIGHT BLUE MANDALA CROP TOP - S/M,1
9415866450261,KIMONO ITANHANGÁ S1,1
9415950205269,USINA GILET - S/M,1
9475603464533,SS'24 SCRUNCHIE | LAVENDER,1
9475611623765,SS'24 SCRUNCHIE | S2,1
9499394310485,TRIQUÍNI GÁVEA S4 - L,1
9499394310485,TRIQUÍNI GÁVEA S4 - XS,1
9505016185173,FATO DE BANHO JOÁ S2 - XS,1
9506048999765,FATO DE BANHO JOÁ S3 - S,1
9506078720341,SAPUCAÍ CROP TOP S3 - S/M,1
9508296556885,BONÉ MISSUS S4,1
9508296982869,BONÉ MISSUS S5,1
9509608882517,BONÉ MISSUS S10,1
9534252417365,SS'24 SCRUNCHIE | S6,1
9534253564245,SS'24 SCRUNCHIE | S7,1
9534257496405,SS'24 SCRUNCHIE | S9,1
9534259396949,SS'24 SCRUNCHIE | S10,1
9534261526869,SS'24 SCRUNCHIE | S11,1
9534263820629,SS'24 SCRUNCHIE | S12,1
