checkout_id,tenant_id,timestamp,product_id,variant_meta_id,product_name,sku,variant_meta_properties,price,quantity,vendor
46594846523733,missusstore,2025-02-09 12:05:57+00:00,9534259396949,49415260864853,SS'24 SCRUNCHIE | S10,SS24RJSCRUNCHIES10,,3.0,1,missusstore
46594846523733,missusstore,2025-02-09 12:05:57+00:00,9534261526869,49415271973205,SS'24 SCRUNCHIE | S11,SS24RJSCRUNCHIES11,,3.0,1,missusstore
46594846523733,missusstore,2025-02-09 12:05:57+00:00,9534263820629,49415283736917,SS'24 SCRUNCHIE | S12,SS24RJSCRUNCHIES12,,3.0,1,missusstore
46611810451797,missusstore,2025-02-11 03:38:25+00:00,9588863041877,49584810885461,BIQUÍNI IPANEMA S2 Top - M,SS24BK8S2M-T,,13.0,1,Missus
46611810451797,missusstore,2025-02-11 03:38:25+00:00,9588865859925,49584814457173,BIQUÍNI IPANEMA S2 Regular - L,SS24BK8S2L-C,,13.0,1,Missus
46616191762773,missusstore,2025-02-11 21:27:03+00:00,9588872413525,49584831136085,Biquíni Vidigal Top - M,SS24BK13S1M-T,,15.0,1,Missus
46616191762773,missusstore,2025-02-11 21:27:03+00:00,9588878672213,49584841392469,Biquíni Vidigal Regular - XL,SS24BK13S1XL-C,,15.0,1,Missus
46584606163285,missusstore,2025-02-12 20:15:38+00:00,7953514889443,43537219027171,BLACK TRACKSUIT CROP TOP - M/L,TSBLACKCROPTOPM/L,,10.0,1,missusstore
46584606163285,missusstore,2025-02-12 20:15:38+00:00,9393052844373,49009808408917,PARÉO TANGUÁ S8,SS24PÁREOLONGS9,,17.0,1,missusstore
46584606163285,missusstore,2025-02-12 20:15:38+00:00,9617267949909,49663234998613,WHITE CROP TOP TRACKSUIT - M/L,TSCROPTOPWHITEM/L,,20.0,1,missusstore
46584606163285,missusstore,2025-02-12 20:15:38+00:00,9509608882517,49341420175701,BONÉ MISSUS S10,SS24BONEMISSUSS10,,27.0,1,Missus
46584606163285,missusstore,2025-02-12 20:15:38+00:00,9393033281877,49009719738709,SS'24 TOTE BAG MISSUS S2,SS24TOTEBAGS2,,5.0,1,missusstore
46631480852821,missusstore,2025-02-14 13:47:14+00:00,9588939194709,49584963879253,BIQUÍNI ARIPEBA S1 Top - XS,SS24BK16S1XS-T,,13.0,1,Missus
46631480852821,missusstore,2025-02-14 13:47:14+00:00,9693848240469,49939254640981,BIQUÍNI ARIPEBA S1 Tanga - XS,SS24BK16S1XS-C,,13.0,1,Missus
46630126322005,missusstore,2025-02-14 09:04:02+00:00,9393072177493,49009861787989,LIGHT BLUE MANDALA CROP TOP - S/M,SS24CROPTOPAZULS/M,,15.0,1,missusstore
46630126322005,missusstore,2025-02-14 09:04:02+00:00,9393065525589,49009843568981,STRAWBERRY MANDALA CROP TOP - S/M,SS24CROPTOPROSAS/M,,15.0,1,missusstore
46667447664981,missusstore,2025-02-21 12:41:53+00:00,9592205082965,49597510713685,BIQUÍNI COPACABANA S2 Top - L,SS24BK15S2L-T,,15.0,1,Missus
46667447664981,missusstore,2025-02-21 12:41:53+00:00,9592205541717,49710351778133,BIQUÍNI COPACABANA S2 Cueca - L / Tanga,SS24BK15S2L-CT,,15.0,1,Missus
46671320809813,missusstore,2025-02-22 08:57:06+00:00,9592205082965,49597510680917,BIQUÍNI COPACABANA S2 Top - M,SS24BK15S2M-T,,15.0,1,Missus
46671320809813,missusstore,2025-02-22 08:57:06+00:00,9592205541717,49710351778133,BIQUÍNI COPACABANA S2 Cueca - L / Tanga,SS24BK15S2L-CT,,15.0,1,Missus
46699911151957,missusstore,2025-02-27 11:50:21+00:00,9592205082965,49597510713685,BIQUÍNI COPACABANA S2 Top - L,SS24BK15S2L-T,,15.0,1,Missus
46699911151957,missusstore,2025-02-27 11:50:21+00:00,9592205541717,49710351778133,BIQUÍNI COPACABANA S2 Cueca - L / Tanga,SS24BK15S2L-CT,,15.0,1,Missus
46699911151957,missusstore,2025-02-27 11:50:21+00:00,8994389721429,47952055730517,VESTIDO PONTA ACAIA - CASTANHO,SS24EW1BROWNU,,33.0,1,Missus
46705835770197,missusstore,2025-02-28 12:51:10+00:00,9592271765845,49597785243989,BIQUÍNI MARAMBAIA S2 Top - XL,SS24BK5S2XL-T,,15.0,1,Missus
46705835770197,missusstore,2025-02-28 12:51:10+00:00,9592268849493,49705734144341,BIQUÍNI MARAMBAIA S2 Cueca - S / Tanga,SS24BK5S2S-CT,,15.0,1,Missus
46705960616277,missusstore,2025-02-28 13:14:45+00:00,9592205082965,49597510713685,BIQUÍNI COPACABANA S2 Top - L,SS24BK15S2L-T,,15.0,1,Missus
46705960616277,missusstore,2025-02-28 13:14:45+00:00,9592205541717,49710351778133,BIQUÍNI COPACABANA S2 Cueca - L / Tanga,SS24BK15S2L-CT,,15.0,1,Missus
46738825445717,missusstore,2025-03-06 14:07:58+00:00,9790004298069,50282791010645,BIQUÍNI HAWI S2 Top - S,SS25BK19S2S-T,,32.0,1,Missus
46738825445717,missusstore,2025-03-06 14:07:58+00:00,9790005018965,50282793107797,BIQUÍNI HAWI Cueca - S / Tanga,SS25BK19S2S-CT,,32.0,1,Missus
46739060916565,missusstore,2025-03-06 14:53:13+00:00,9789954949461,50282688414037,BIQUÍNI LANIKAI S2 Top - S,SS25BK15S2S-T,,41.0,1,Missus
46739060916565,missusstore,2025-03-06 14:53:13+00:00,9789955735893,50282690117973,BIQUÍNI LANIKAI S2 Cueca - M / Tanga,SS25BK15S2M-CT,,41.0,1,Missus
46741429059925,missusstore,2025-03-06 22:52:49+00:00,9790002233685,50282786193749,BIQUÍNI HAWI S1 Top - S,SS25BK19S1S-T,,32.0,1,Missus
46741429059925,missusstore,2025-03-06 22:52:49+00:00,9790003118421,50282788028757,BIQUÍNI HAWI S1 Cueca - S / Tanga,SS25BK19S1S-CT,,32.0,1,Missus
46739004555605,missusstore,2025-03-06 15:06:43+00:00,9787383316821,50273537196373,BIQUÍNI KAILUA S3 Top - S,SS25BK2S3S-T,,39.0,1,Missus
46739004555605,missusstore,2025-03-06 15:06:43+00:00,9787385217365,50273544569173,BIQUÍNI KAILUA S3 Cueca - M / Tanga,SS25BK2S3M-CT,,39.0,1,Missus
46741204730197,missusstore,2025-03-06 21:56:04+00:00,9787392590165,50273582776661,BIQUÍNI KAILUA S4 Top - M,SS25BK2S4M-T,,39.0,1,Missus
46741204730197,missusstore,2025-03-06 21:56:04+00:00,9787394589013,50273605550421,BIQUÍNI KAILUA S4 Cueca - M / Tanga,SS25BK2S4M-CT,,39.0,1,Missus
46740122927445,missusstore,2025-03-06 20:30:31+00:00,9790002233685,50282786193749,BIQUÍNI HAWI S1 Top - S,SS25BK19S1S-T,,32.0,1,Missus
46740122927445,missusstore,2025-03-06 20:30:31+00:00,9790003118421,50282787995989,BIQUÍNI HAWI S1 Cueca - S / Regular,SS25BK19S1S-CR,,32.0,1,Missus
46565648433493,missusstore,2025-03-06 14:01:51+00:00,9790002233685,50282786160981,BIQUÍNI HAWI S1 Top - XS,SS25BK19S1XS-T,,33.0,1,Missus
46565648433493,missusstore,2025-03-06 14:01:51+00:00,9790003118421,50282788028757,BIQUÍNI HAWI S1 Cueca - S / Tanga,SS25BK19S1S-CT,,33.0,1,Missus
46739871334741,missusstore,2025-03-06 17:36:47+00:00,9618042847573,49666001043797,BLUE TRACKSUIT STRAIGHT SWEATPANTS - XS/S,TSBLUESTPANTSXS/S,,30.0,1,missusstore
46739871334741,missusstore,2025-03-06 17:36:47+00:00,9617334829397,49663559565653,BLUE TRACKSUIT T-SHIRT - XS/S,TSBLUET-SHIRTXS/S,,18.0,1,missusstore
46739871334741,missusstore,2025-03-06 17:36:47+00:00,9789954949461,50282688381269,BIQUÍNI LANIKAI S2 Top - XS,SS25BK15S2XS-T,,41.0,1,Missus
46739871334741,missusstore,2025-03-06 17:36:47+00:00,9789955735893,50282689986901,BIQUÍNI LANIKAI S2 Cueca - XS / Tanga,SS25BK15S2XS-CT,,41.0,1,Missus
46739149128021,missusstore,2025-03-06 15:12:31+00:00,9789938368853,50282649715029,BIQUÍNI MAUI S2 Top - S,SS25BK13S2S-T,,39.0,1,Missus
46739149128021,missusstore,2025-03-06 15:12:31+00:00,9789938991445,50282650763605,BIQUÍNI MAUI S2 Cueca - S / Regular,SS25BK13S2S-CR,,39.0,1,Missus
