source_product_id,recommended_product_id,rank,similarity,source,product_title
gid://shopify/Product/9641397485916,gid://shopify/Product/9641397518684,1,0.741050753888773,similarity,
gid://shopify/Product/9641397485916,gid://shopify/Product/9641402532188,2,0.6962375274264401,similarity,
gid://shopify/Product/9641397485916,gid://shopify/Product/9641399386460,3,0.6948283218202,similarity,
gid://shopify/Product/9641397485916,gid://shopify/Product/9641402630492,4,0.6447816163619675,similarity,
gid://shopify/Product/9641397485916,gid://shopify/Product/9641403318620,5,0.6231175384682582,similarity,
gid://shopify/Product/9641397485916,gid://shopify/Product/9641397551452,6,0.6230815853438415,similarity,
gid://shopify/Product/9641397485916,gid://shopify/Product/9641403384156,7,0.5944487145315416,similarity,
gid://shopify/Product/9641397485916,gid://shopify/Product/9641397584220,8,0.5639031103353483,similarity,
gid://shopify/Product/9641397485916,gid://shopify/Product/9641404793180,9,0.5282426584417264,similarity,
gid://shopify/Product/9641397485916,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641397518684,gid://shopify/Product/9641402532188,1,0.7924881165889317,similarity,
gid://shopify/Product/9641397518684,gid://shopify/Product/9641397485916,2,0.741050753888773,similarity,
gid://shopify/Product/9641397518684,gid://shopify/Product/9641399386460,3,0.7313126744756088,similarity,
gid://shopify/Product/9641397518684,gid://shopify/Product/9641397551452,4,0.6694371269001295,similarity,
gid://shopify/Product/9641397518684,gid://shopify/Product/9641403318620,5,0.6693913327669223,similarity,
gid://shopify/Product/9641397518684,gid://shopify/Product/9641403384156,6,0.61029826669284,similarity,
gid://shopify/Product/9641397518684,gid://shopify/Product/9641402630492,7,0.6053044349993428,similarity,
gid://shopify/Product/9641397518684,gid://shopify/Product/9641397584220,8,0.5741637044018382,similarity,
gid://shopify/Product/9641397518684,gid://shopify/Product/9641404793180,9,0.537624628008198,similarity,
gid://shopify/Product/9641397518684,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641397551452,gid://shopify/Product/9641403384156,1,0.7118179267353806,similarity,
gid://shopify/Product/9641397551452,gid://shopify/Product/9641402630492,2,0.7013332441978524,similarity,
gid://shopify/Product/9641397551452,gid://shopify/Product/9641402532188,3,0.6712134810751077,similarity,
gid://shopify/Product/9641397551452,gid://shopify/Product/9641397518684,4,0.6694371269001295,similarity,
gid://shopify/Product/9641397551452,gid://shopify/Product/9641399386460,5,0.6437073403353996,similarity,
gid://shopify/Product/9641397551452,gid://shopify/Product/9641397485916,6,0.6230815853438415,similarity,
gid://shopify/Product/9641397551452,gid://shopify/Product/9641397584220,7,0.5407224461011048,similarity,
gid://shopify/Product/9641397551452,gid://shopify/Product/9641404793180,8,0.5116445378376497,similarity,
gid://shopify/Product/9641397551452,gid://shopify/Product/9641404891484,9,0.4570262813133352,similarity,
gid://shopify/Product/9641397551452,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641397584220,gid://shopify/Product/9641399386460,1,0.6072298250185921,similarity,
gid://shopify/Product/9641397584220,gid://shopify/Product/9641402532188,2,0.5772406543787856,similarity,
gid://shopify/Product/9641397584220,gid://shopify/Product/9641397518684,3,0.5741637044018382,similarity,
gid://shopify/Product/9641397584220,gid://shopify/Product/9641397485916,4,0.5639031103353483,similarity,
gid://shopify/Product/9641397584220,gid://shopify/Product/9641403318620,5,0.5418338775607697,similarity,
gid://shopify/Product/9641397584220,gid://shopify/Product/9641397551452,6,0.5407224461011048,similarity,
gid://shopify/Product/9641397584220,gid://shopify/Product/9641403384156,7,0.5251230456509351,similarity,
gid://shopify/Product/9641397584220,gid://shopify/Product/9641402630492,8,0.5215186350313609,similarity,
gid://shopify/Product/9641397584220,gid://shopify/Product/9641404793180,9,0.4818614638942758,similarity,
gid://shopify/Product/9641397584220,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641399386460,gid://shopify/Product/9641402532188,1,0.7340955223899105,similarity,
gid://shopify/Product/9641399386460,gid://shopify/Product/9641397518684,2,0.7313126744756088,similarity,
gid://shopify/Product/9641399386460,gid://shopify/Product/9641397485916,3,0.6948283218202,similarity,
gid://shopify/Product/9641399386460,gid://shopify/Product/9641397551452,4,0.6437073403353996,similarity,
gid://shopify/Product/9641399386460,gid://shopify/Product/9641403318620,5,0.6436430043355055,similarity,
gid://shopify/Product/9641399386460,gid://shopify/Product/9641403384156,6,0.6108033972966885,similarity,
gid://shopify/Product/9641399386460,gid://shopify/Product/9641397584220,7,0.6072298250185921,similarity,
gid://shopify/Product/9641399386460,gid://shopify/Product/9641402630492,8,0.6058110167353782,similarity,
gid://shopify/Product/9641399386460,gid://shopify/Product/9641404793180,9,0.5379274018155386,similarity,
gid://shopify/Product/9641399386460,9641402466652,10,0.2,popularity,Sanjo K100 // All Black - 42
gid://shopify/Product/9641399419228,gid://shopify/Product/9641450963292,1,0.6150273103378763,similarity,
gid://shopify/Product/9641399419228,gid://shopify/Product/9641450766684,2,0.6146899183738717,similarity,
gid://shopify/Product/9641399419228,gid://shopify/Product/9641414754652,3,0.5696528244500872,similarity,
gid://shopify/Product/9641399419228,gid://shopify/Product/9641443492188,4,0.549087992866457,similarity,
gid://shopify/Product/9641399419228,gid://shopify/Product/9641450471772,5,0.5425012748872899,similarity,
gid://shopify/Product/9641399419228,gid://shopify/Product/9641450111324,6,0.5424919850794986,similarity,
gid://shopify/Product/9641399419228,gid://shopify/Product/9641463218524,7,0.5196320854665754,similarity,
gid://shopify/Product/9641399419228,gid://shopify/Product/9641462759772,8,0.5196294936888206,similarity,
gid://shopify/Product/9641399419228,gid://shopify/Product/9641462956380,9,0.5196294936873262,similarity,
