k,davies_bouldin,silhouette,calinski_harabasz,inertia
10,0.5069896216624108,0.700997689626342,1542.2342204689146,1149466.2042161159
11,0.5459777543053704,0.6329043620046599,1456.6866031723725,1102792.5881625763
12,0.520541543772316,0.6448773558452204,1551.5778189522314,961414.6565269679
13,0.5112996840536426,0.6544191445399818,1520.488466004754,906433.5386819015
14,0.46053179895713786,0.6581085655558641,1507.258431902268,850761.1828436607
15,0.40131278640618984,0.6623146040544694,1482.8711959913257,807793.9007896216
16,0.3985502695995855,0.6729577382723481,1524.24881434171,740477.3545681562
17,0.39647269427530313,0.6812739324274772,1520.2856122485975,699863.8405310701
18,0.3921590490329584,0.6909037059025507,1583.8713727694142,637713.7909860468
19,0.38045364931086023,0.6912462653035183,1526.3026247675202,625821.5562490136
20,0.454098157754803,0.6871287926254948,1457.5858035825258,621013.5871677285
21,0.5048456591154319,0.7067374544180405,1665.8365712461919,523260.3299576952
22,0.49332464514656055,0.7066807146016896,1651.3410177577368,503895.4199103899
23,0.4901872627413889,0.7169457402598552,1782.313415096637,448930.67350951675
24,0.4924351118898625,0.7258992402881416,1884.9057540245706,408197.20557170524
25,0.5007305959408934,0.7317372110928622,1985.1740211335314,373099.8240280934
26,0.4938013414884743,0.7344506095629268,1955.097726892989,363998.34938428923
27,0.5117132507829166,0.7479681609194291,2149.3837283230646,320168.2559473982
28,0.4881148424674466,0.7480021890356084,2182.7103241093646,304150.26783370035
29,0.4793646636431674,0.7483552692105805,2193.0965833875803,292258.0330966671
30,0.48072008942661404,0.7590072614776979,2374.460318103096,261618.10469433005
31,0.4853893869395346,0.7643713322659459,2500.071460974303,240778.3615671614
32,0.4880167621890362,0.7657120071007205,2471.06082093437,235810.9468778648
