source_product_id,recommended_product_id,product_title,rank,hybrid_score,source,base_knn_similarity,pop_count,group_freq
gid://shopify/Product/9641397485916,gid://shopify/Product/9641402466652,Sanjo K100 // All Black - 42,1,0.04,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397485916,gid://shopify/Product/9641446867292,Sanjo STC 70 High // Ecru - 37,2,0.04,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397518684,gid://shopify/Product/9641402466652,Sanjo K100 // All Black - 42,1,0.04,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397518684,gid://shopify/Product/9641446867292,Sanjo STC 70 High // Ecru - 37,2,0.04,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397551452,gid://shopify/Product/9641402466652,Sanjo K100 // All Black - 42,1,0.08,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397551452,gid://shopify/Product/9641446867292,Sanjo STC 70 High // Ecru - 37,2,0.08,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397551452,gid://shopify/Product/9641399419228,Title Not Found,3,0.04439848418422994,similarity,0.04439848418422994,0.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641402466652,Sanjo K100 // All Black - 42,1,0.08,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641446867292,Sanjo STC 70 High // Ecru - 37,2,0.08,popularity,0.0,1.0,0.0
gid://shopify/Product/9641397584220,gid://shopify/Product/9641414754652,Title Not Found,3,0.029558717814611918,similarity,0.029558717814611918,0.0,0.0
