checkout_id,product_ids,product_names,item_count
46522432651605,"['9475609952597', '9393033970005', '9534254842197']","[""SS'24 SCRUNCHIE | S1"", ""SS'24 TOTE BAG MISSUS S4"", ""SS'24 SCRUNCHIE | S8""]",3
46699911151957,"['9592205082965', '8994389721429', '9592205541717']","['BIQUÍNI COPACABANA S2 Top - L', 'VESTIDO PONTA ACAIA - CASTANHO', 'BIQUÍNI COPACABANA S2 Cueca - L / Tanga']",3
46340865589589,"['9592202494293', '9592204591445', '9087355093333']","['BIQUÍNI COPACABANA S3 Top - L', 'BIQUÍNI COPACABANA S3 Cueca - M / Regular', 'TRIQUÍNI SAMBAÍBA S2 - M']",3
46667447664981,"['9592205082965', '9592205541717']","['BIQUÍNI COPACABANA S2 Top - L', 'BIQUÍNI COPACABANA S2 Cueca - L / Tanga']",2
46671320809813,"['9592205541717', '9592205082965']","['BIQUÍNI COPACABANA S2 Cueca - L / Tanga', 'BIQUÍNI COPACABANA S2 Top - M']",2
46705835770197,"['9592268849493', '9592271765845']","['BIQUÍNI MARAMBAIA S2 Cueca - S / Tanga', 'BIQUÍNI MARAMBAIA S2 Top - XL']",2
46705960616277,"['9592205541717', '9592205082965']","['BIQUÍNI COPACABANA S2 Cueca - L / Tanga', 'BIQUÍNI COPACABANA S2 Top - L']",2
46738775802197,"['9788969058645', '9788926525781']","['BIQUÍNI KAHALA S2 Cueca - L / Regular', 'BIQUÍNI KAHALA S2 Top - L']",2
46738825445717,"['9790005018965', '9790004298069']","['BIQUÍNI HAWI Cueca - S / Tanga', 'BIQUÍNI HAWI S2 Top - S']",2
46739004555605,"['9787383316821', '9787385217365']","['BIQUÍNI KAILUA S3 Top - S', 'BIQUÍNI KAILUA S3 Cueca - M / Tanga']",2
46739060916565,"['9789955735893', '9789954949461']","['BIQUÍNI LANIKAI S2 Cueca - M / Tanga', 'BIQUÍNI LANIKAI S2 Top - S']",2
46739308577109,"['9789936238933', '9789937123669']","['BIQUÍNI MAUI S1 Top - S', 'BIQUÍNI MAUI S1 Cueca - S / Regular']",2
46740122927445,"['9790002233685', '9790003118421']","['BIQUÍNI HAWI S1 Top - S', 'BIQUÍNI HAWI S1 Cueca - S / Regular']",2
46740260094293,"['9789954949461', '9789955735893']","['BIQUÍNI LANIKAI S2 Top - M', 'BIQUÍNI LANIKAI S2 Cueca - XS / Tanga']",2
46741204730197,"['9787392590165', '9787394589013']","['BIQUÍNI KAILUA S4 Top - M', 'BIQUÍNI KAILUA S4 Cueca - M / Tanga']",2
46798280950101,"['9618038751573', '9618043732309']","['GREEN TRACKSUIT CREWNECK SWEATSHIRT - S/M', 'GREEN TRACKSUIT STRAIGHT SWEATPANTS - S/M']",2
46467511779669,"['9592246698325', '9592243028309']","['BIQUÍNI DA BARRA S4 Top - S', 'BIQUÍNI DA BARRA S4 Cueca - M / Regular']",2
46479229387093,"['9592202494293', '9592204591445']","['BIQUÍNI COPACABANA S3 Top - L', 'BIQUÍNI COPACABANA S3 Cueca - L / Tanga']",2
46484324974933,"['9592275435861', '9592287166805']","['BIQUÍNI GUARIBA S1 Top - S', 'BIQUÍNI GUARIBA S1 Cueca - S / Regular']",2
46484600619349,"['9618035769685', '9618050482517']","['WHITE TRACKSUIT CREWNECK SWEATSHIRT - XS/S', 'WHITE TRACKSUIT SWEATPANTS - XS/S']",2
46491879997781,"['9592288313685', '9592276648277']","['BIQUÍNI GUARIBA S2 Cueca - XS / Tanga', 'BIQUÍNI GUARIBA S2 Top - S']",2
46492474474837,"['9592268849493', '9592271765845']","['BIQUÍNI MARAMBAIA S2 Cueca - S / Regular', 'BIQUÍNI MARAMBAIA S2 Top - S']",2
46505435693397,"['9592239653205', '9592240341333']","['BIQUÍNI DA BARRA S1 Top - L', 'BIQUÍNI DA BARRA S1 Cueca - L / Tanga']",2
46513882661205,"['9503592612181', '9503591104853']","['BIQUÍNI NITERÓI S2 Regular - S', 'BIQUÍNI NITERÓI S2 Top - S']",2
46525588144469,"['9693848240469', '9588939194709']","['BIQUÍNI ARIPEBA S1 Tanga - S', 'BIQUÍNI ARIPEBA S1 Top - M']",2
46534393037141,"['9617330372949', '9617267949909']","['TAUPE TRACKSUIT T-SHIRT - S/M', 'WHITE CROP TOP TRACKSUIT - S/M']",2
46537852911957,"['9588919664981', '9588917207381']","['BIQUÍNI ARPOADOR S2 Regular - L', 'BIQUÍNI ARPOADOR S2 Top - XL']",2
46558715216213,"['9588917207381', '9588919664981']","['BIQUÍNI ARPOADOR S2 Top - XS', 'BIQUÍNI ARPOADOR S2 Regular - XS']",2
46563053797717,"['9592202494293', '9592204591445']","['BIQUÍNI COPACABANA S3 Top - XS', 'BIQUÍNI COPACABANA S3 Cueca - M / Regular']",2
46565648433493,"['9790002233685', '9790003118421']","['BIQUÍNI HAWI S1 Top - XS', 'BIQUÍNI HAWI S1 Cueca - S / Tanga']",2
46576254484821,"['9588891287893', '9588888273237']","['BIQUÍNI PORTO FRADE S1 Regular - S', 'BIQUÍNI PORTO FRADE S1 Top - M']",2
46611810451797,"['9588865859925', '9588863041877']","['BIQUÍNI IPANEMA S2 Regular - L', 'BIQUÍNI IPANEMA S2 Top - M']",2
46616191762773,"['9588872413525', '9588878672213']","['Biquíni Vidigal Top - M', 'Biquíni Vidigal Regular - XL']",2
46630126322005,"['9393072177493', '9393065525589']","['LIGHT BLUE MANDALA CROP TOP - S/M', 'STRAWBERRY MANDALA CROP TOP - S/M']",2
46631480852821,"['9588939194709', '9693848240469']","['BIQUÍNI ARIPEBA S1 Top - XS', 'BIQUÍNI ARIPEBA S1 Tanga - XS']",2
46781492658517,"['9787369881941', '9787370373461']","['BIQUÍNI KAILUA S2 Top - S', 'BIQUÍNI KAILUA S2 Cueca - XS / Tanga']",2
46787430711637,"['9789955735893', '9789954949461']","['BIQUÍNI LANIKAI S2 Cueca - S / Tanga', 'BIQUÍNI LANIKAI S2 Top - S']",2
46787830874453,"['9790003118421', '9790002233685']","['BIQUÍNI HAWI S1 Cueca - S / Tanga', 'BIQUÍNI HAWI S1 Top - M']",2
46036040024405,"['9588919664981', '9588917207381']","['BIQUÍNI ARPOADOR S2 Regular - XS', 'BIQUÍNI ARPOADOR S2 Top - XS']",2
46741429059925,"['9790003118421', '9790002233685']","['BIQUÍNI HAWI S1 Cueca - S / Tanga', 'BIQUÍNI HAWI S1 Top - S']",2
46742696853845,"['9788899459413', '9788901425493']","['BIQUÍNI WAIKIKI S6 Top - XS', 'BIQUÍNI WAIKIKI S6 Cueca - XS / Tanga']",2
46745115197781,"['9788874129749', '9788875768149']","['BIQUÍNI OAHU S3 Top - L', 'BIQUÍNI OAHU S3 Cueca - XS / Tanga']",2
46746746519893,"['9790017208661', '9790016454997']","['BIQUÍNI HAWI S7 Cueca - M / Tanga', 'BIQUÍNI HAWI S7 Top - S']",2
46765179044181,"['9789954949461', '9789955735893']","['BIQUÍNI LANIKAI S2 Top - M', 'BIQUÍNI LANIKAI S2 Cueca - XS / Tanga']",2
46777586811221,"['9788926525781', '9788969058645']","['BIQUÍNI KAHALA S2 Top - S', 'BIQUÍNI KAHALA S2 Cueca - S / Regular']",2
46570940825941,['9031629898069'],['JUMPSUIT JAPUÍBA - VERDE MENTA'],1
46530641822037,['9618050613589'],['TAUPE TRACKSUIT SWEATPANTS - S/M'],1
46525908123989,['9415950205269'],['USINA GILET - S/M'],1
46193216848213,['9087349129557'],['TRIQUÍNI SAMBAÍBA S1 - XS'],1
