source_product_id,target_product_id,relationship_type
7830854664419,8986209681749,related_products
7830854664419,8986208731477,related_products
7830854664419,7830915875043,related_products
7830854664419,8986207748437,related_products
7830854664419,8986205487445,related_products
7830854664419,8986203947349,related_products
7830854664419,8986207256917,related_products
7830854664419,8986206699861,related_products
7830855254243,7830854664419,related_products
7830855254243,7830855254243,related_products
7830855254243,7830911680739,related_products
7830855254243,7830915317987,related_products
7830855254243,8986205487445,related_products
7830855254243,8986203947349,related_products
7830855254243,8986207256917,related_products
7830855254243,7830957457635,related_products
7830855254243,7830962962659,related_products
7830855254243,7830964044003,related_products
7918348435683,8994389721429,related_products
7953512497379,7953514889443,related_products
7953512497379,7953515249891,related_products
7953512497379,7953519509731,related_products
7953512497379,7953520132323,related_products
7953512497379,7953520820451,related_products
7953512497379,7953522000099,related_products
7953512497379,9591109550421,related_products
7953512497379,7953528750307,related_products
7953512497379,7953532584163,related_products
7953512497379,7953535598819,related_products
7953513775331,7953514365155,related_products
7953513775331,9571858612565,related_products
7953513775331,9571853566293,related_products
7953513775331,9571849339221,related_products
7953513775331,9571852058965,related_products
7953513775331,7953533403363,related_products
7953513775331,7953533599971,related_products
7953513775331,9571859530069,related_products
7953513775331,9571854909781,related_products
7953513775331,7953537007843,related_products
7953514365155,9571861037397,related_products
7953514365155,9571857400149,related_products
7953514365155,7953513775331,related_products
7953514365155,9571858612565,related_products
7953514365155,9571853566293,related_products
7953514365155,9571849339221,related_products
7953514365155,9571852058965,related_products
7953514365155,7953533403363,related_products
7953514365155,7953533599971,related_products
7953514889443,7953515610339,related_products
7953514889443,7953519509731,related_products
7953514889443,7953520132323,related_products
7953514889443,7953522000099,related_products
7953514889443,7953528750307,related_products
7953514889443,7953532584163,related_products
7953514889443,7953532846307,related_products
7953514889443,7953535598819,related_products
7953514889443,7953535860963,related_products
7953514889443,7953538449635,related_products
7953519509731,7953514889443,related_products
7953519509731,7953520820451,related_products
7953519509731,7953522000099,related_products
7953519509731,7953528750307,related_products
7953519509731,7953532584163,related_products
7953519509731,7953532846307,related_products
7953519509731,7953535598819,related_products
7953519509731,7953538449635,related_products
7953519509731,7953541202147,related_products
7953520820451,7953514889443,related_products
7953520820451,7953519509731,related_products
7953520820451,7953522000099,related_products
7953520820451,7953528750307,related_products
7953520820451,7953532584163,related_products
7953520820451,7953532846307,related_products
7953520820451,7953535598819,related_products
7953520820451,7953539039459,related_products
7953522000099,7953514889443,related_products
7953522000099,7953519509731,related_products
7953522000099,7953522000099,related_products
7953522000099,7953528750307,related_products
7953522000099,7953532584163,related_products
7953522000099,7953535598819,related_products
7953522000099,7953538449635,related_products
7953522000099,7953541202147,related_products
7971029287139,7972835164387,related_products
7971029287139,7972739121379,related_products
7971029287139,7972740858083,related_products
7971029287139,7972790075619,related_products
7971029287139,7972787060963,related_products
7971029287139,7972839588067,related_products
7971029287139,7972739809507,related_products
7971029287139,7972789256419,related_products
7971029287139,7972840472803,related_products
7971029287139,7972790272227,related_products
7972739121379,7972787060963,related_products
7972739121379,7972839588067,related_products
7972739121379,7972740858083,related_products
7972739121379,7972790272227,related_products
7972739121379,7972740432099,related_products
7972739121379,7972790075619,related_products
7972739121379,7972841193699,related_products
7972739121379,8988326199637,related_products
7972739121379,8988312666453,related_products
7972739121379,8988295725397,related_products
7972790075619,7972739121379,related_products
7972790075619,7972787060963,related_products
7972790075619,7972739809507,related_products
7972790075619,7972789256419,related_products
7972790075619,7972840472803,related_products
7972790075619,7972814749923,related_products
7972790075619,7972740858083,related_products
7972790075619,7972790272227,related_products
7972790075619,7972740432099,related_products
7972790075619,7972790075619,related_products
8987063976277,9571835543893,related_products
8987063976277,9571838001493,related_products
8987063976277,8987168244053,related_products
8987063976277,8987167359317,related_products
8987063976277,8987164705109,related_products
8987063976277,8987163066709,related_products
8987063976277,8987161002325,related_products
8987063976277,8987156906325,related_products
8987063976277,8987153465685,related_products
8987136000341,8987140424021,related_products
8987136000341,8987148550485,related_products
8987136000341,8987150811477,related_products
8987136000341,9571811164501,related_products
8987136000341,9571788915029,related_products
8987136000341,8987118371157,related_products
8987136000341,9571826368853,related_products
8987136000341,8987121418581,related_products
8987136000341,9571823452501,related_products
8987136000341,8987036746069,related_products
8987140424021,8987136000341,related_products
8987140424021,9571861037397,related_products
8987140424021,9571857400149,related_products
8987140424021,8987148550485,related_products
8987140424021,8987150811477,related_products
8987140424021,8987036746069,related_products
8987140424021,8987113128277,related_products
8987140424021,8987128660309,related_products
8987140424021,8987130659157,related_products
8987140424021,8987146158421,related_products
8987148550485,8987150811477,related_products
8987148550485,8987136000341,related_products
8987148550485,8987140424021,related_products
8987148550485,8987036746069,related_products
8987148550485,8987113128277,related_products
8987148550485,8987128660309,related_products
8987148550485,8987130659157,related_products
8987148550485,8987144290645,related_products
8987148550485,8987146158421,related_products
8987150811477,8987148550485,related_products
8987150811477,9571811164501,related_products
8987150811477,9571826368853,related_products
8987150811477,8987121418581,related_products
8987150811477,8987036746069,related_products
8987150811477,8987113128277,related_products
8987150811477,8987128660309,related_products
8987150811477,8987130659157,related_products
8987150811477,8987144290645,related_products
8987150811477,8987146158421,related_products
8987167359317,8987168244053,related_products
8987167359317,9571835543893,related_products
8987167359317,9571838001493,related_products
8987167359317,8987164705109,related_products
8987167359317,8987163066709,related_products
